;0
0;207.95
1;204.93
2;202.31
3;199.82
4;197.93
5;196.19
6;194.25
7;192.3
8;190.06
9;187.81
10;186.46
11;184.35
12;182.93
13;181.29
14;178.74
15;177.25
16;175.18
17;174.66
18;173.12
19;171.61
20;170.08
21;168.35
22;166.68
23;165.59
24;163.87
25;163.66
26;162.34
27;160.83
28;159.81
29;158.83
30;157.82
31;156.93
32;155.72
33;154.85
34;153.98
35;153.0
36;151.99
37;151.04
38;150.09
39;148.62
40;147.81
41;147.03
42;146.22
43;145.41
44;145.09
45;144.32
46;143.32
47;143.12
48;142.04
49;141.49
50;140.87
51;140.13
52;139.42
53;138.05
54;137.44
55;137.11
56;136.67
57;135.94
58;135.42
59;134.75
60;133.93
61;133.2
62;132.52
63;131.92
64;131.51
65;131.22
66;130.39
67;129.73
68;129.33
69;128.61
70;128.21
71;127.27
72;126.65
73;126.33
74;125.7
75;125.15
76;124.15
77;123.65
78;123.52
79;123.16
80;122.64
81;122.19
82;121.68
83;121.67
84;121.12
85;120.57
86;120.18
87;119.68
88;119.17
89;118.62
90;117.97
91;117.51
92;117.1
93;116.94
94;116.35
95;115.87
96;115.52
97;115.03
98;114.69
99;114.24
100;114.08
101;113.63
102;113.17
103;112.66
104;112.53
105;112.11
106;111.63
107;111.2
108;110.74
109;110.45
110;109.84
111;109.45
112;108.98
113;108.51
114;108.13
115;107.61
116;107.19
117;106.59
118;106.2
119;105.65
120;105.31
121;104.95
122;104.57
123;104.24
124;103.68
125;103.28
126;102.92
127;102.71
128;102.44
129;102.07
130;101.91
131;101.61
132;101.28
133;100.86
134;100.62
135;100.27
136;99.94
137;99.62
138;99.25
139;98.89
140;98.57
141;98.08
142;97.65
143;97.33
144;96.93
145;96.59
146;96.29
147;95.91
148;95.7
149;95.41
150;94.7
151;94.46
152;94.2
153;93.98
154;93.65
155;93.39
156;93.2
157;92.95
158;92.65
159;92.38
160;92.19
161;91.92
162;91.69
163;91.38
164;90.99
165;90.56
166;90.19
167;89.93
168;89.58
169;89.55
170;89.45
171;89.17
172;89.04
173;88.79
174;88.65
175;88.32
176;88.1
177;87.84
178;87.53
179;87.2
180;87.14
181;86.93
182;86.69
183;86.46
184;86.21
185;85.92
186;85.71
187;85.52
188;85.3
189;85.07
190;84.87
191;84.64
192;84.52
193;84.31
194;84.0
195;83.85
196;83.64
197;83.35
198;83.12
199;83.02
200;82.88
201;82.77
202;82.46
203;82.24
204;82.15
205;82.07
206;81.86
207;81.62
208;81.4
209;81.19
210;81.01
211;80.69
212;80.4
213;80.21
214;80.03
215;80.07
216;79.85
217;79.58
218;79.35
219;79.13
220;78.87
221;78.57
222;78.27
223;78.08
224;77.87
225;77.77
226;77.48
227;77.3
228;77.17
229;76.99
230;76.77
231;76.57
232;76.41
233;76.24
234;75.96
235;75.8
236;75.61
237;75.43
238;75.25
239;75.12
240;74.94
241;74.71
242;74.57
243;74.41
244;74.35
245;74.14
246;73.98
247;73.81
248;73.73
249;73.66
250;73.49
251;73.37
252;73.12
253;72.95
254;72.74
255;72.44
256;72.38
257;72.2
258;72.03
259;71.87
260;71.74
261;71.6
262;71.44
263;71.35
264;71.14
265;71.03
266;70.98
267;70.83
268;70.66
269;70.51
270;70.31
271;70.17
272;70.0
273;69.88
274;69.66
275;69.51
276;69.46
277;69.26
278;69.07
279;68.96
280;68.92
281;68.81
282;68.64
283;68.53
284;68.48
285;68.38
286;68.26
287;67.85
288;67.72
289;67.58
290;67.41
291;67.29
292;67.18
293;67.06
294;66.92
295;66.78
296;66.67
297;66.62
298;66.42
299;66.22
300;65.91
301;65.67
302;65.49
303;65.32
304;65.29
305;65.18
306;65.11
307;64.95
308;64.79
309;64.57
310;64.43
311;64.27
312;64.2
313;64.19
314;64.07
315;63.9
316;63.8
317;63.68
318;63.57
319;63.44
320;63.32
321;63.25
322;63.11
323;63.04
324;62.96
325;62.91
326;62.81
327;62.7
328;62.58
329;62.48
330;62.38
331;62.21
332;62.09
333;61.96
334;61.86
335;61.73
336;61.6
337;61.51
338;61.42
339;61.31
340;61.22
341;61.15
342;61.05
343;60.93
344;60.82
345;60.69
346;60.65
347;60.56
348;60.47
349;60.37
350;60.23
351;60.12
352;59.95
353;59.81
354;59.72
355;59.62
356;59.5
357;59.4
358;59.33
359;59.26
360;59.12
361;59.01
362;58.87
363;58.77
364;58.68
365;58.55
366;58.44
367;58.35
368;58.27
369;58.08
370;57.98
371;57.87
372;57.77
373;57.69
374;57.6
375;57.53
376;57.46
377;57.29
378;57.11
379;57.02
380;56.92
381;56.9
382;56.82
383;56.75
384;56.66
385;56.59
386;56.47
387;56.39
388;56.31
389;56.22
390;56.1
391;56.03
392;55.95
393;55.87
394;55.83
395;55.76
396;55.63
397;55.55
398;55.47
399;55.47
400;55.42
401;55.36
402;55.21
403;55.05
404;54.94
405;54.85
406;54.75
407;54.68
408;54.6
409;54.5
410;54.47
411;54.52
412;54.45
413;54.4
414;54.31
415;54.25
416;54.17
417;54.08
418;53.99
419;53.95
420;53.84
421;53.78
422;53.81
423;53.75
424;53.7
425;53.61
426;53.56
427;53.43
428;53.41
429;53.33
430;53.26
431;53.19
432;53.12
433;53.06
434;52.96
435;52.88
436;52.81
437;52.73
438;52.67
439;52.6
440;52.53
441;52.46
442;52.39
443;52.26
444;52.23
445;52.16
446;52.1
447;52.08
448;52.04
449;52.02
450;51.93
451;51.86
452;51.81
453;51.77
454;51.7
455;51.59
456;51.56
457;51.52
458;51.37
459;51.24
460;51.16
461;51.09
462;51.02
463;50.96
464;50.87
465;50.81
466;50.75
467;50.68
468;50.61
469;50.52
470;50.47
471;50.39
472;50.29
473;50.23
474;50.15
475;50.08
476;50.02
477;49.93
478;49.87
479;49.73
480;49.68
481;49.66
482;49.59
483;49.54
484;49.48
485;49.48
486;49.42
487;49.36
488;49.27
489;49.21
490;49.15
491;49.09
492;49.03
493;48.95
494;48.89
495;48.84
496;48.77
497;48.69
498;48.61
499;48.57
