;0;0;0;0;0
0;291.28;291.28;291.28;291.28;291.28
1;276.13;276.13;276.13;276.13;266.26
2;264.22;262.71;272.44;264.22;258.27
3;257.3;255.38;265.3;257.21;251.39
4;250.64;249.35;256.67;250.55;244.34
5;243.91;245.23;250.62;240.36;237.79
6;238.61;241.9;246.19;234.16;234.49
7;231.82;236.34;239.74;228.91;227.64
8;224.99;230.8;233.6;224.18;222.89
9;220.72;226.7;228.8;219.81;218.62
10;216.95;222.37;224.46;215.61;214.26
11;212.91;218.12;220.18;211.3;209.97
12;208.73;212.53;214.91;206.64;205.47
13;203.78;209.15;211.44;202.74;201.06
14;199.21;204.08;207.43;199.41;195.77
15;196.64;202.31;204.51;195.51;193.86
16;194.24;198.9;200.91;192.58;190.01
17;192.71;195.4;196.25;190.69;186.95
18;188.53;192.37;192.32;187.73;184.04
19;185.66;190.23;189.41;185.43;181.25
20;180.57;186.63;185.85;182.51;177.89
21;180.18;183.97;183.1;179.78;174.51
22;177.64;180.52;181.04;177.01;170.09
23;174.89;177.93;178.19;174.49;167.8
24;172.33;175.29;176.12;172.1;165.14
25;169.96;172.96;174.4;169.7;163.97
26;167.26;168.64;170.95;166.37;161.37
27;166.02;167.33;168.66;164.85;159.39
28;163.28;165.87;165.07;162.68;157.84
29;161.38;163.85;163.25;160.75;155.82
30;159.13;162.57;161.67;159.83;154.01
31;157.45;160.98;159.74;156.76;152.33
32;155.66;159.26;158.1;154.87;150.08
33;153.71;157.12;155.98;153.17;148.41
34;151.98;155.36;154.19;151.2;146.72
35;150.84;153.04;152.37;149.97;145.16
36;149.16;151.31;150.63;148.23;143.48
37;147.56;149.71;147.86;146.67;142.28
38;146.01;148.14;146.29;145.43;140.85
39;142.85;145.8;144.69;143.92;139.64
40;141.37;144.14;143.95;142.4;138.2
41;139.89;142.66;141.59;141.03;136.71
42;138.53;140.61;140.13;139.35;135.48
43;136.85;139.39;138.09;138.31;134.13
44;135.85;137.29;136.99;137.31;132.64
45;134.53;136.26;135.48;136.19;131.64
46;133.01;135.21;134.02;134.79;130.55
47;131.94;133.67;132.82;133.47;129.4
48;130.81;132.34;131.49;132.25;128.33
49;129.73;130.66;130.31;131.14;127.28
50;128.66;129.52;128.99;130.07;126.25
51;127.63;128.45;127.92;128.93;125.23
52;126.58;127.41;126.8;127.88;124.37
53;124.81;126.62;125.73;126.74;123.24
54;123.74;125.53;124.72;125.81;122.29
55;122.77;124.34;123.76;124.77;121.22
56;122.14;123.66;123.22;123.98;120.23
57;121.14;122.67;122.58;123.44;119.99
58;120.14;121.65;121.53;122.51;119.04
59;119.16;120.38;120.56;121.55;118.08
60;118.42;119.32;119.17;120.57;117.2
61;117.97;118.2;118.66;119.68;116.12
62;117.28;117.36;117.69;118.75;114.98
63;116.43;116.5;116.82;117.85;114.0
64;115.69;115.75;116.13;117.04;113.11
65;114.96;114.98;115.31;116.29;112.16
66;114.12;114.2;114.39;115.42;110.69
67;113.36;113.07;113.63;115.11;109.99
68;112.72;112.16;113.02;114.46;109.57
69;111.63;111.36;111.61;112.92;108.83
70;111.43;110.36;110.83;112.29;108.13
71;110.28;108.98;109.92;111.46;107.11
72;109.65;108.51;109.21;110.72;106.13
73;108.62;107.93;108.61;109.98;105.41
74;107.9;107.08;107.98;109.34;104.72
75;107.11;106.36;107.29;108.72;104.02
76;106.38;105.64;106.53;107.36;103.22
77;105.47;105.02;105.82;106.66;102.81
78;104.79;104.6;104.4;106.31;102.21
79;103.87;103.96;103.79;105.56;101.57
80;103.58;103.45;103.01;104.91;100.91
81;102.95;103.49;102.37;104.22;100.3
82;102.3;102.77;101.86;103.44;100.02
83;101.79;102.16;101.08;102.88;99.44
