;0;0;0;0;0
0;291.28;291.28;291.28;291.28;291.28
1;290.73;290.38;290.96;288.66;291.02
2;290.64;290.28;290.88;288.03;283.67
3;290.55;287.19;290.51;287.23;283.59
4;290.36;286.9;289.02;286.94;282.77
5;289.91;285.91;287.52;286.5;280.46
6;289.88;285.18;286.94;284.97;280.43
7;289.12;283.62;285.1;284.25;278.82
8;284.56;276.19;284.27;278.1;273.8
9;284.19;276.13;284.12;277.11;272.19
10;281.92;275.14;283.55;276.93;272.09
11;281.65;274.01;282.83;276.56;271.51
12;276.51;272.61;282.54;276.47;270.42
13;275.62;268.9;282.27;274.57;270.29
14;273.1;267.37;280.85;274.17;269.02
15;272.22;261.56;280.7;269.88;268.63
16;266.88;261.62;279.74;268.87;267.52
17;266.1;261.57;279.38;267.64;267.46
18;266.04;261.52;278.84;267.21;266.31
19;265.68;261.03;274.78;267.15;265.75
20;265.01;260.79;271.51;265.62;265.73
21;261.57;256.79;267.34;259.38;265.63
22;253.09;252.26;263.13;258.58;264.7
23;248.66;251.78;263.02;257.54;261.44
24;248.04;251.57;262.56;257.35;261.04
25;247.61;250.64;258.93;250.6;260.6
26;247.32;247.49;256.91;250.43;259.73
27;242.11;242.03;249.43;247.01;258.41
28;239.85;242.01;249.14;245.59;258.0
29;239.18;241.14;247.12;239.89;257.78
30;238.58;239.72;246.6;238.79;254.11
31;238.42;235.11;240.45;237.43;254.04
32;235.22;233.14;239.56;233.12;253.33
33;228.65;232.91;231.82;229.33;252.07
34;228.37;231.88;229.7;228.81;250.49
35;227.18;229.65;229.47;228.66;248.79
36;226.78;229.47;225.66;228.45;248.36
37;220.57;229.32;225.17;227.94;247.91
38;220.25;227.64;224.9;226.88;247.8
39;220.07;227.09;224.67;226.6;247.14
40;219.91;226.98;224.66;226.13;246.96
41;217.97;226.37;224.49;225.77;246.58
42;217.41;225.42;224.17;225.28;244.58
43;216.34;224.75;222.41;224.84;244.56
44;214.23;224.42;222.39;224.53;244.38
45;212.71;224.16;222.32;224.24;241.62
46;211.44;215.85;222.29;221.32;231.77
47;211.41;215.02;221.71;220.87;230.63
48;211.04;213.36;221.31;219.41;230.28
49;210.97;212.65;214.86;216.83;227.36
50;209.77;212.28;214.58;215.77;227.23
51;208.88;210.94;214.34;213.28;226.84
52;208.58;207.57;213.96;213.14;226.16
53;206.34;203.22;212.75;212.71;226.11
54;205.43;203.03;212.54;212.24;225.84
55;200.32;202.88;212.27;211.88;225.03
56;199.17;201.62;212.08;211.2;224.67
57;198.75;199.16;211.78;211.06;222.46
58;198.2;198.43;210.98;210.44;222.16
59;197.95;196.62;210.9;209.93;221.54
60;196.95;196.23;210.08;209.34;221.5
61;193.76;194.75;209.49;209.13;221.22
62;193.63;194.32;209.01;207.13;219.4
63;193.55;193.6;208.8;206.8;216.67
64;193.24;190.73;207.26;206.79;214.72
65;193.12;188.59;206.98;206.57;214.69
66;192.24;188.15;206.65;206.5;214.29
67;190.23;187.52;205.99;205.96;212.8
68;190.1;187.45;205.69;205.55;212.26
69;189.93;187.4;205.13;205.08;211.83
70;188.69;187.22;205.1;205.07;211.69
71;187.8;186.98;204.86;204.57;211.42
72;187.72;186.92;204.6;204.16;211.34
73;187.34;186.65;204.38;204.0;211.23
74;186.66;186.62;204.06;203.93;211.19
75;184.28;186.27;202.92;202.25;209.03
76;183.18;185.97;202.78;200.91;208.23
77;178.21;184.19;185.23;182.44;208.02
78;175.46;183.91;184.82;178.5;207.55
79;175.13;183.5;184.79;178.17;207.24
