;0;0;0;0;0
0;291.28;291.28;291.28;291.28;291.28
1;287.69;290.01;286.76;287.69;290.57
2;280.38;283.13;278.99;280.38;283.03
3;275.8;280.44;274.44;275.74;278.58
4;275.73;275.15;274.38;275.68;278.51
5;275.6;275.13;274.23;275.45;278.33
6;272.02;269.91;270.64;271.92;274.67
7;271.69;269.34;270.3;271.58;273.9
8;270.31;268.14;268.95;270.23;272.54
9;263.46;267.61;264.53;267.26;268.57
10;262.76;264.04;263.83;266.46;267.76
11;253.46;258.0;255.22;260.57;258.28
12;252.65;255.74;254.4;259.73;257.61
13;237.83;253.72;244.89;244.53;239.17
14;236.94;251.26;243.84;243.42;238.36
15;233.73;251.24;240.04;238.2;234.64
16;231.33;251.19;237.15;235.48;231.99
17;225.74;249.38;235.12;229.78;226.18
18;225.73;248.14;235.09;229.76;226.16
19;218.91;247.17;228.03;224.95;222.47
20;218.5;245.55;227.55;224.51;222.03
21;216.55;244.78;226.38;223.52;220.9
22;216.07;244.49;226.08;223.05;220.32
23;213.39;244.04;223.42;220.22;217.14
24;207.85;244.01;218.33;215.43;211.15
25;206.56;243.33;216.87;213.75;209.76
26;205.05;241.67;215.13;212.14;208.29
27;203.29;241.3;213.08;210.3;206.57
28;203.27;241.21;213.06;210.27;206.55
29;203.23;240.89;213.01;210.23;206.51
30;201.81;240.41;211.51;208.26;205.08
31;201.06;236.48;210.6;206.67;204.02
32;199.79;235.85;209.78;205.35;202.47
33;198.6;235.47;208.56;204.3;201.26
34;198.1;235.27;208.05;203.66;200.9
35;197.89;234.14;207.81;203.43;200.68
36;197.41;232.62;207.43;203.17;200.26
37;197.38;232.17;207.4;203.14;200.23
38;196.83;231.43;206.8;202.56;199.68
39;195.53;230.93;205.92;201.54;198.69
40;194.9;226.76;205.28;201.15;198.03
41;194.62;225.9;204.58;200.78;197.66
42;194.28;225.09;204.19;200.42;197.26
43;193.98;223.26;203.81;200.15;196.91
44;191.03;222.74;200.78;197.08;193.93
45;190.51;222.52;200.28;196.59;193.5
46;190.23;221.91;199.98;196.29;193.21
47;190.1;221.72;199.82;196.14;193.05
48;189.98;221.48;198.87;195.74;192.67
49;188.83;220.71;197.51;194.54;191.37
50;188.47;220.49;197.16;194.16;190.99
51;188.02;220.16;196.7;193.82;190.39
52;187.6;219.92;196.28;193.41;189.97
53;184.18;219.52;192.79;189.87;186.41
54;183.97;219.4;192.26;189.64;186.12
55;183.49;219.04;191.68;189.06;185.55
56;181.98;218.84;190.16;187.5;183.96
57;181.59;218.77;189.74;187.1;183.58
58;181.38;217.66;189.57;186.81;183.35
59;180.87;216.89;189.06;186.3;182.85
60;180.8;216.83;188.89;186.18;182.76
61;180.61;216.74;188.64;185.96;182.49
62;180.13;216.54;187.62;184.93;181.72
63;179.8;215.29;187.24;184.66;181.45
64;179.51;214.56;186.91;184.29;181.09
65;179.33;214.36;186.71;184.1;180.88
66;179.01;214.02;186.4;183.78;180.6
67;178.91;213.33;186.3;183.68;180.5
68;178.72;213.04;186.15;183.42;180.31
69;178.57;212.11;186.0;183.26;180.15
70;178.52;211.87;185.94;183.21;180.1
71;177.0;211.11;184.7;181.87;178.82
72;176.43;207.17;184.14;181.24;178.14
73;176.37;201.79;184.08;181.18;178.1
74;176.27;198.6;183.99;181.08;178.0
75;176.11;198.56;183.82;180.92;177.85
76;175.73;198.5;182.79;180.54;176.92
77;175.17;196.04;182.18;179.97;176.36
78;175.02;195.8;182.01;179.83;176.22
79;174.73;194.83;181.72;179.53;175.95
80;174.37;191.1;181.28;179.15;175.41
81;174.11;190.36;181.03;178.88;175.14
82;173.49;184.47;180.47;178.22;174.58
83;173.23;183.84;180.26;177.97;174.38
84;172.53;176.18;179.48;177.37;173.61
85;170.96;175.61;177.99;175.77;171.7
86;167.75;172.5;174.71;172.48;168.25
87;165.82;171.09;172.69;170.52;166.32
88;165.8;170.97;172.66;170.5;166.3
89;165.74;170.96;172.55;170.41;166.24
90;164.3;167.36;170.95;168.87;164.79
91;164.03;167.11;170.71;168.6;164.48
92;163.39;166.07;170.09;167.98;163.85
93;162.22;165.87;167.72;165.2;161.93
94;161.84;164.4;167.32;164.79;161.5
95;158.91;161.54;164.13;160.87;158.28
96;158.64;160.77;163.77;160.43;158.01
97;152.8;159.88;156.77;154.44;153.33
98;152.28;158.78;156.33;153.99;152.86
99;149.61;158.77;154.52;151.67;150.44
100;148.56;158.74;153.32;150.55;149.33
101;147.55;157.94;152.05;148.77;147.9
102;147.54;157.38;152.04;148.76;147.9
103;144.82;156.53;148.98;145.56;145.38
104;144.54;155.87;148.8;145.35;145.11
105;144.18;155.52;148.1;144.59;144.23
106;144.0;155.4;147.89;144.4;144.06
107;142.8;155.33;146.82;143.51;143.21
108;140.26;155.31;144.02;140.98;140.53
109;139.6;154.99;143.17;140.06;139.75
110;138.88;154.18;142.4;139.34;139.04
111;138.03;153.95;141.45;138.5;138.22
112;138.02;153.81;141.44;138.49;138.21
113;138.0;153.51;141.42;138.46;138.19
114;137.4;153.35;140.66;137.98;137.66
115;136.73;151.67;140.14;137.76;137.09
116;136.27;151.26;139.42;137.04;136.54
117;135.79;150.98;138.84;136.43;135.91
118;135.55;150.87;138.66;136.29;135.54
119;135.44;150.37;138.55;136.18;135.44
120;135.22;149.73;138.35;136.08;135.13
121;135.2;149.54;138.33;136.06;135.11
122;134.94;149.43;138.06;135.8;134.85
123;134.34;149.22;137.63;135.32;134.34
124;134.04;147.33;137.47;135.04;133.86
125;133.86;147.07;137.44;134.9;133.51
126;133.68;146.75;137.31;134.69;133.45
127;133.63;145.81;137.26;134.48;133.4
128;132.22;145.58;135.89;133.08;132.05
129;131.88;145.46;135.59;132.83;131.82
130;131.74;145.17;135.45;132.69;131.68
131;131.66;145.12;135.39;132.65;131.61
132;131.37;144.94;135.25;132.03;131.28
133;130.84;144.41;134.68;131.42;130.71
134;130.67;144.35;134.51;131.24;130.53
135;130.45;144.12;134.29;131.07;130.24
136;130.25;144.01;134.09;130.87;130.04
137;128.56;143.86;132.4;129.16;128.32
138;128.32;143.8;132.06;128.84;128.21
139;128.02;143.55;131.87;128.59;127.92
140;127.27;143.47;131.13;127.83;127.14
141;127.08;143.43;130.92;127.64;126.94
142;126.97;142.89;130.82;127.55;126.81
143;126.72;142.67;130.51;127.3;126.56
144;126.64;142.64;130.48;127.28;126.49
145;126.51;142.6;130.35;127.15;126.36
146;125.96;142.5;129.86;126.59;125.9
147;125.88;142.2;129.68;126.4;125.79
148;125.67;141.86;129.54;126.23;125.63
149;125.56;141.79;129.44;126.13;125.53
150;125.44;141.62;129.29;125.95;125.35
151;125.39;141.42;129.24;125.9;125.3
152;125.16;141.3;129.16;125.75;125.18
153;125.09;140.93;129.09;125.67;125.1
154;125.06;140.79;129.05;125.65;125.07
155;124.65;140.3;128.65;124.98;124.63
156;124.32;139.59;128.45;124.67;124.33
157;124.29;137.04;128.43;124.62;124.3
158;124.24;135.49;128.38;124.58;124.25
159;124.16;135.47;128.22;124.5;124.17
160;123.95;135.4;127.94;124.14;123.8
161;123.66;134.19;127.64;123.83;123.52
162;123.59;133.94;127.57;123.79;123.46
163;123.45;133.45;127.43;123.66;123.33
164;123.15;131.56;127.2;123.39;123.11
