;0;0;0;0;0
0;207.95;207.95;207.95;207.95;207.95
1;204.07;204.56;204.56;204.07;202.18
2;200.85;201.33;202.94;200.85;199.25
3;198.12;203.62;200.19;199.18;194.48
4;195.85;200.54;197.39;196.86;192.79
5;193.53;198.4;195.05;193.88;190.28
6;190.98;197.26;193.15;190.61;188.63
7;189.16;195.83;191.48;189.2;185.13
8;186.56;193.81;189.23;187.58;184.1
9;184.06;191.76;187.29;185.92;182.43
10;182.12;189.05;185.65;183.93;180.49
11;179.97;187.07;183.66;183.18;178.35
12;178.23;185.44;181.62;181.23;176.55
13;176.3;184.19;180.99;179.41;174.49
14;174.56;182.36;179.19;178.29;174.3
15;173.22;179.26;177.63;177.14;172.88
16;170.7;177.48;176.58;175.45;171.41
17;170.66;175.69;174.09;175.48;170.85
18;168.96;174.46;172.59;173.97;169.82
19;167.63;173.14;171.06;173.1;169.3
20;165.9;172.12;169.91;171.43;166.99
21;163.49;170.11;168.29;170.17;165.64
22;162.03;168.04;167.44;168.63;164.34
23;160.76;166.76;166.14;167.22;162.64
24;159.41;165.53;165.05;166.14;160.57
25;158.47;164.28;164.03;164.86;159.53
26;157.31;162.68;162.49;163.39;158.66
27;156.36;161.8;161.44;162.13;157.36
28;154.31;161.56;160.59;161.17;156.53
29;153.11;160.8;159.81;160.0;155.24
30;151.9;159.22;158.66;158.1;154.26
31;151.31;157.24;157.62;155.76;153.43
32;150.06;156.12;156.42;154.85;151.7
33;148.99;156.22;155.39;153.42;150.71
34;148.14;154.95;154.2;151.92;149.63
35;147.47;153.67;153.13;151.07;148.01
36;146.14;152.76;152.03;149.22;146.94
37;145.1;151.66;150.84;148.2;145.84
38;144.08;150.64;149.75;147.16;144.74
39;143.13;149.89;149.1;146.37;143.99
40;142.11;148.41;147.87;145.59;142.99
41;141.47;146.79;146.0;144.56;142.28
42;140.52;145.79;144.97;143.56;141.22
43;139.43;144.99;143.85;142.91;140.2
44;138.96;143.76;142.9;142.04;139.44
45;137.86;143.0;141.96;141.19;138.86
46;136.86;141.97;141.0;140.03;137.85
47;136.2;140.01;140.04;138.95;136.93
48;135.29;139.26;139.18;138.0;136.34
49;134.38;138.33;138.37;137.08;135.51
50;133.49;137.22;137.13;136.24;134.63
51;132.63;136.18;136.34;135.31;133.84
52;131.93;135.3;136.2;134.77;133.02
53;130.73;134.76;135.31;133.86;132.25
54;130.38;134.17;134.59;133.34;131.66
55;129.93;133.5;133.97;132.63;130.84
56;129.38;132.33;133.5;131.97;130.3
57;128.66;131.47;133.08;131.12;129.1
58;127.65;130.85;132.42;130.36;128.23
59;126.97;130.18;132.06;129.63;127.42
60;126.22;129.47;131.6;128.89;126.74
61;125.24;128.64;130.9;128.12;126.18
62;124.93;127.82;130.04;127.24;125.45
63;124.23;127.09;129.17;126.21;124.81
64;123.99;126.48;128.65;125.57;124.26
65;123.55;126.16;128.2;124.75;123.06
66;122.81;125.44;127.48;123.86;122.45
67;121.97;124.88;126.79;123.59;121.75
68;121.32;124.18;126.29;122.9;121.68
69;120.43;122.96;125.24;122.01;120.95
70;119.97;122.22;124.39;121.6;120.42
71;119.04;121.55;123.79;120.78;119.82
72;118.51;121.08;122.89;120.1;118.96
73;117.56;120.59;122.29;119.35;118.37
74;117.05;119.49;121.67;118.76;117.72
75;116.42;118.87;120.83;118.04;117.52
76;116.19;118.38;120.2;117.8;116.9
77;115.73;117.56;119.72;117.17;116.27
78;115.14;116.9;119.91;116.74;115.67
79;114.64;116.25;119.37;116.33;115.21
80;114.15;115.49;118.74;115.83;114.54
81;113.59;114.83;118.06;115.24;113.97
82;113.06;114.23;117.68;114.69;113.19
83;112.74;113.72;117.02;114.29;112.55
84;112.2;113.22;116.49;113.51;112.03
85;111.49;112.74;115.97;112.91;111.44
86;110.79;112.22;115.43;112.37;110.82
87;110.26;111.54;114.75;111.68;110.32
88;109.99;111.24;114.22;111.2;109.66
89;109.53;110.7;113.48;110.46;109.17
90;108.59;110.12;113.07;110.16;108.35
91;107.99;109.97;112.5;109.61;107.92
92;107.42;109.32;112.24;109.07;107.9
93;106.77;108.81;111.73;108.65;107.41
94;106.28;108.42;111.14;107.98;106.77
95;105.84;107.94;110.53;107.47;106.39
96;105.56;107.54;110.0;106.66;105.75
97;105.0;106.73;109.5;106.09;105.35
98;104.71;106.2;108.98;105.65;104.84
99;104.16;105.98;108.47;105.14;104.36
100;103.63;105.41;107.69;104.79;103.89
101;103.08;105.0;107.04;104.29;103.46
102;102.65;104.54;106.75;103.83;102.86
103;102.22;104.05;106.46;103.34;102.39
104;101.58;103.54;105.66;102.47;101.82
105;101.14;102.75;105.18;101.71;100.97
106;100.67;102.3;104.6;101.22;100.47
107;100.23;102.22;104.34;100.75;100.21
108;99.79;101.81;103.89;100.36;99.71
109;99.47;101.45;103.46;99.92;99.31
110;99.05;100.3;103.12;99.27;98.78
111;98.62;100.07;102.53;98.89;98.34
112;98.18;99.85;101.95;98.5;98.13
113;97.76;99.3;101.54;98.19;97.76
114;97.52;98.83;101.15;97.68;97.51
115;97.14;98.15;100.71;97.48;97.18
116;96.81;97.73;100.3;97.08;96.77
117;96.35;97.22;99.82;96.7;96.39
118;95.91;96.67;99.61;96.46;95.85
119;95.38;96.27;99.15;96.11;95.53
120;94.96;95.76;98.73;95.87;95.07
