;0;0;0;0;0
0;207.95;207.95;207.95;207.95;207.95
1;207.16;207.28;207.16;207.48;207.61
2;206.79;207.28;206.5;207.28;204.39
3;206.46;206.49;206.28;205.2;204.18
4;205.91;206.1;204.65;204.78;203.85
5;204.45;203.87;204.47;202.59;202.04
6;202.53;203.05;203.94;201.24;201.68
7;202.14;202.07;202.25;200.75;201.63
8;201.01;201.73;201.29;199.39;201.54
9;200.34;200.31;199.86;198.16;199.36
10;199.26;199.6;198.25;196.37;199.25
11;198.03;198.48;197.56;194.96;198.73
12;197.21;198.38;197.22;193.61;197.39
13;196.9;197.61;196.82;192.08;196.93
14;196.69;196.06;196.74;191.68;196.41
15;196.11;194.0;195.73;190.13;195.87
16;195.39;193.62;194.1;189.49;195.54
17;194.6;192.55;193.49;188.97;194.74
18;193.8;192.05;193.02;188.87;194.36
19;193.57;191.67;192.31;188.52;194.12
20;192.76;190.12;190.66;188.49;192.96
21;192.15;189.54;188.46;188.17;191.15
22;190.36;189.16;187.67;186.98;190.37
23;189.97;186.67;185.22;186.94;188.27
24;189.27;185.24;185.13;186.58;187.79
25;188.52;182.59;184.16;186.42;187.11
26;187.47;182.34;183.57;185.59;186.22
27;187.29;181.22;181.82;185.26;186.05
28;183.71;179.91;179.87;184.55;184.58
29;183.26;177.83;179.38;184.33;184.36
30;182.39;177.31;178.37;183.79;183.39
31;182.07;176.74;178.16;183.18;182.88
32;181.32;176.19;177.77;182.42;182.42
33;181.02;175.98;177.59;181.2;181.92
34;180.56;175.23;176.56;180.18;180.59
35;178.33;174.52;175.21;179.71;180.02
36;177.12;174.28;174.21;179.69;178.41
37;175.09;174.0;171.74;178.95;178.1
38;174.92;173.51;170.88;178.75;177.41
39;174.25;173.08;170.57;177.05;176.7
40;173.83;172.74;169.72;176.36;175.48
41;171.64;171.41;168.2;175.47;175.04
42;171.47;171.48;167.42;175.02;174.25
43;171.22;171.07;166.9;174.68;172.35
44;170.53;170.69;166.5;174.24;171.63
45;170.36;168.98;166.11;173.81;170.36
46;169.2;167.68;165.58;171.12;169.29
47;167.69;167.27;164.09;170.5;167.84
48;167.49;167.09;161.71;169.0;166.62
49;165.75;165.04;161.36;168.46;166.35
50;165.16;164.17;161.19;168.25;166.29
51;164.15;163.79;160.71;167.62;164.95
52;164.06;163.21;160.66;166.68;164.75
53;163.93;162.39;160.53;164.67;164.53
54;163.16;162.11;160.14;164.41;164.21
55;159.13;160.85;159.67;160.63;163.83
56;158.93;160.54;159.05;159.74;163.65
57;157.4;159.47;158.76;159.28;162.57
58;157.16;159.33;158.69;158.73;162.27
59;156.72;157.74;158.17;157.26;161.05
60;156.57;157.33;157.77;156.68;160.99
61;156.23;156.76;157.44;156.52;160.18
62;156.05;156.35;157.21;156.11;159.85
63;155.66;155.08;156.45;155.53;158.16
64;154.65;154.23;155.74;155.51;157.62
65;153.0;153.64;155.64;155.0;155.67
66;152.47;152.76;155.49;154.04;155.3
67;152.4;150.85;155.05;153.7;154.2
68;151.16;150.75;154.81;153.13;153.47
69;150.94;149.61;154.23;152.83;152.73
70;149.87;148.76;153.85;152.23;151.54
71;149.57;148.51;153.27;151.22;150.63
72;149.3;148.31;152.84;150.26;150.34
73;148.94;147.7;152.52;150.02;150.17
74;148.62;146.99;151.87;149.78;150.15
75;147.46;146.39;151.47;149.35;149.25
76;147.01;145.64;151.02;149.3;148.7
77;146.88;145.37;150.25;148.96;148.2
78;146.66;145.13;150.08;148.52;147.82
79;146.23;144.41;149.89;147.57;146.88
80;146.0;144.15;149.28;147.39;146.63
81;145.77;143.55;149.11;146.69;146.61
82;145.59;143.32;148.41;145.48;146.45
83;145.51;143.1;148.33;144.19;146.12
84;145.52;142.95;147.67;143.13;145.8
85;145.01;142.74;147.27;142.74;145.47
86;144.87;142.71;146.79;142.53;144.41
87;144.37;141.76;146.44;141.99;144.22
88;143.51;141.23;145.9;141.52;143.12
89;143.06;140.41;144.98;141.45;142.98
90;142.06;140.14;144.15;141.43;142.48
91;141.82;139.95;143.89;141.04;142.14
92;140.94;139.74;143.54;140.05;141.86
93;140.3;139.68;143.25;140.01;141.17
94;139.72;139.39;143.09;139.55;140.85
95;138.6;138.73;142.05;138.7;140.68
96;138.3;138.4;141.81;138.4;140.62
97;137.94;138.13;141.49;137.31;140.12
98;137.87;137.82;140.7;136.97;140.03
99;137.48;136.87;140.14;136.62;139.78
100;137.07;136.75;139.92;136.13;139.36
101;136.64;136.48;139.02;135.93;139.05
102;136.55;136.42;138.75;135.92;138.59
103;136.0;136.05;138.6;135.32;137.58
104;134.97;135.75;138.1;134.39;137.14
105;134.7;135.54;138.05;133.52;137.02
106;134.35;134.32;137.22;133.28;136.22
107;133.85;134.13;136.3;133.07;134.6
108;133.62;133.96;135.83;132.9;134.35
109;133.37;133.35;134.72;132.52;133.83
110;133.11;133.01;134.56;132.23;133.21
111;133.02;132.81;133.73;132.1;132.64
112;132.38;132.02;132.91;131.85;131.72
113;132.04;131.76;131.87;131.44;131.38
114;131.64;131.46;131.67;131.14;130.77
115;131.0;131.32;131.08;130.45;130.61
116;129.71;130.91;130.86;129.5;129.87
117;129.54;130.83;130.81;129.13;129.21
118;129.39;130.14;130.48;128.87;129.09
119;128.93;129.78;129.99;128.24;128.64
120;128.58;129.1;128.9;128.19;128.4
121;127.62;128.57;128.69;127.29;128.2
122;126.78;128.11;128.36;127.08;128.08
123;126.61;127.96;128.27;127.04;128.04
124;126.43;127.32;126.84;126.83;127.5
125;126.29;127.12;126.69;125.75;126.7
126;126.16;126.92;126.51;125.6;126.11
127;126.09;125.69;126.41;124.55;125.23
128;126.05;124.94;125.97;123.89;125.09
129;125.7;124.01;125.95;122.97;123.84
130;124.75;123.74;125.8;122.68;123.61
131;124.67;123.72;125.77;122.45;123.44
132;124.19;123.02;125.3;122.31;123.31
133;123.92;122.44;125.07;121.99;122.83
134;123.73;121.87;124.97;121.57;122.45
135;123.0;121.41;124.28;121.47;122.37
136;122.94;121.16;124.0;121.06;122.18
137;122.91;120.68;123.15;120.46;121.97
138;122.62;120.58;122.89;119.71;121.69
139;122.36;120.54;122.06;118.86;121.56
140;121.21;120.35;121.89;118.0;121.41
141;121.03;120.22;121.04;117.93;121.31
142;120.96;119.62;120.99;117.77;120.83
143;120.79;118.93;120.76;117.65;120.49
144;120.72;118.82;120.65;117.18;120.45
145;120.58;118.28;120.49;116.86;119.56
146;119.68;117.89;119.78;116.55;119.35
147;119.47;117.6;118.8;116.37;119.18
148;118.78;117.55;118.11;116.12;118.92
149;118.63;116.26;117.99;115.81;118.79
150;118.51;116.19;117.8;115.5;118.69
151;117.48;116.11;117.37;115.34;118.54
152;117.12;115.75;117.04;114.97;117.46
153;117.01;114.83;116.94;114.71;117.11
154;116.87;114.68;116.6;114.05;116.92
155;116.78;113.89;116.12;113.99;116.79
156;115.75;113.47;114.97;113.5;116.78
157;115.63;113.34;114.84;113.13;116.07
158;114.93;113.14;114.62;112.66;115.43
159;114.83;113.01;114.46;112.41;114.99
160;114.69;112.72;114.09;112.26;114.22
161;114.41;112.6;114.01;112.07;113.52
162;114.38;112.21;113.98;110.85;113.32
163;114.3;111.82;113.91;110.68;113.12
164;113.97;111.15;113.89;110.47;112.58
165;113.34;111.04;113.65;110.38;111.4
166;112.61;110.5;113.31;109.91;111.26
167;112.3;110.21;113.26;109.63;111.14
168;111.98;109.97;112.83;109.52;110.68
169;111.86;109.7;112.52;109.12;110.22
170;111.11;109.38;112.2;108.93;110.14
171;110.69;109.0;111.92;108.73;110.1
172;110.43;108.78;111.79;108.52;109.69
173;110.41;108.59;111.2;108.41;109.47
174;109.79;108.49;111.18;108.04;109.06
175;109.76;108.31;110.84;107.95;108.87
176;109.43;106.37;110.36;107.43;108.47
177;108.7;106.0;110.24;107.31;108.38
178;108.09;105.97;109.28;106.93;108.35
179;107.84;105.78;108.56;106.35;108.11
180;107.77;105.53;108.31;105.74;108.02
181;107.01;105.38;107.93;105.62;107.5
182;106.87;104.89;107.58;105.45;107.39
183;106.72;104.46;107.4;103.74;107.14
184;106.56;104.25;107.32;102.89;107.04
185;106.39;104.19;107.17;102.73;106.95
186;106.35;103.77;106.83;102.72;106.45
187;106.2;103.44;106.15;102.14;106.29
188;106.11;103.31;106.03;101.9;106.12
189;105.73;103.11;105.98;101.03;106.04
190;105.69;102.97;105.76;100.42;105.11
191;105.55;102.89;105.65;100.32;105.01
192;104.88;102.44;105.45;99.46;104.63
193;104.83;102.35;105.35;99.45;104.27
194;104.76;102.01;105.02;99.42;104.42
195;104.71;101.81;104.75;99.29;104.22
196;104.29;100.75;104.71;99.14;102.94
197;103.62;100.55;104.21;99.04;101.92
198;103.12;100.15;104.17;98.78;101.58
199;103.0;99.96;103.93;98.67;100.85
200;102.73;99.87;103.43;97.92;100.53
201;102.47;99.66;103.29;97.72;99.98
202;102.44;99.5;103.15;97.28;99.66
203;102.35;99.02;102.55;96.86;98.71
204;101.82;98.53;102.53;96.59;98.29
205;101.77;98.34;102.08;96.58;98.13
206;101.75;98.26;101.06;96.39;97.72
207;101.67;98.13;100.92;95.98;97.51
208;101.05;97.66;100.58;95.82;97.48
209;100.84;97.44;100.31;95.23;97.2
210;100.76;97.36;100.04;94.83;96.87
211;100.56;96.95;98.76;94.79;96.83
212;100.4;96.65;98.66;94.58;96.81
213;100.11;96.45;98.29;94.49;96.68
214;99.54;96.14;98.14;94.23;96.5
215;98.78;95.62;97.94;94.12;96.32
216;98.73;95.5;97.28;93.96;96.06
217;98.62;94.83;97.05;93.79;95.57
218;98.41;94.5;96.9;93.71;95.34
219;98.11;94.37;96.8;93.71;95.27
220;98.0;94.36;96.73;93.53;95.2
221;97.68;94.29;96.41;92.98;95.08
222;97.6;93.81;96.1;92.84;94.99
223;97.44;93.77;95.72;92.7;94.89
224;97.28;93.69;95.38;92.57;94.44
225;97.1;93.33;94.97;92.13;94.27
226;97.08;93.21;94.91;92.05;94.05
227;96.71;93.13;94.76;92.04;94.03
228;95.24;92.69;94.69;91.75;94.01
229;94.6;92.04;94.58;91.55;93.62
230;94.45;91.34;94.4;91.42;93.38
231;94.12;91.12;94.38;91.32;93.02
232;94.08;91.0;94.26;91.19;92.87
233;93.96;90.95;94.03;90.94;92.68
234;93.82;90.89;93.93;90.26;92.67
235;93.26;90.54;93.57;90.11;92.33
236;92.79;90.19;93.34;89.79;92.0
237;92.74;90.17;93.31;89.39;91.78
238;92.6;89.66;92.94;88.53;91.24
239;92.56;89.41;92.67;88.22;91.17
240;92.39;89.39;92.59;87.79;90.55
241;91.84;89.14;92.5;87.46;90.51
242;91.77;88.93;92.29;87.32;89.86
243;91.38;88.9;92.09;87.31;89.8
244;91.16;88.6;92.06;86.94;89.72
245;90.54;88.59;91.97;86.86;89.4
246;90.05;88.57;91.84;86.76;89.13
