;0;0;0;0;0
0;207.95;207.95;207.95;207.95;207.95
1;207.52;207.51;207.51;207.52;207.13
2;207.31;207.3;207.36;207.31;206.62
3;205.96;205.81;205.98;205.89;205.15
4;204.5;204.76;204.73;204.43;203.39
5;203.23;204.02;203.45;202.63;202.43
6;202.47;203.28;202.7;201.86;201.23
7;202.0;202.96;202.39;201.64;199.62
8;199.95;201.36;200.82;200.02;198.86
9;199.11;199.81;199.27;198.13;196.49
10;198.04;198.65;198.29;197.08;195.42
11;195.63;196.49;196.01;195.45;192.77
12;195.17;196.03;195.54;194.97;192.29
13;194.02;194.8;194.26;193.87;191.81
14;193.26;194.04;193.49;193.09;191.0
15;191.83;192.62;192.13;191.82;190.51
16;188.18;190.94;190.44;189.66;189.86
17;187.11;189.94;189.52;188.58;189.3
18;186.42;189.36;189.0;188.01;188.73
19;186.12;189.01;188.7;187.67;187.89
20;185.3;188.53;188.29;187.05;185.81
21;184.51;187.71;187.44;186.18;185.39
22;182.85;185.54;186.53;184.66;185.37
23;180.99;183.96;184.63;182.8;183.22
24;179.93;182.99;184.11;182.17;182.88
25;179.53;182.58;183.69;181.77;182.21
26;177.67;180.21;181.79;179.61;182.01
27;176.21;178.9;180.27;177.92;181.74
28;171.7;177.8;178.66;175.9;180.44
29;170.08;176.28;177.14;174.31;179.49
30;168.43;174.56;175.37;172.62;179.17
31;167.31;173.55;173.89;170.42;178.6
32;166.09;172.59;173.02;169.26;178.29
33;165.89;172.39;172.82;169.07;177.41
34;165.3;171.78;172.2;168.46;176.39
35;164.92;171.38;171.82;168.09;176.11
36;164.18;170.6;171.02;167.31;175.77
37;162.95;169.21;169.5;165.95;174.89
38;162.2;168.54;168.65;165.12;174.68
39;160.8;167.7;167.79;164.09;174.64
40;159.86;166.73;166.82;163.42;174.05
41;159.28;166.16;166.24;162.82;173.95
42;157.24;163.59;164.09;160.73;173.15
43;156.09;162.71;162.7;160.04;172.6
44;154.61;160.36;160.76;158.27;171.64
45;154.06;160.04;160.19;157.77;171.21
46;153.73;159.69;159.84;157.39;170.91
47;153.49;159.14;159.47;157.03;170.64
48;153.11;158.74;159.05;156.62;170.08
49;152.69;158.31;158.58;156.21;169.11
50;152.27;157.86;157.89;155.75;168.94
51;151.85;157.38;157.44;155.29;168.39
52;150.87;156.25;156.72;154.49;168.12
53;149.35;155.19;155.56;153.25;166.74
54;149.07;154.86;155.16;152.95;166.41
55;149.04;154.84;155.13;152.93;165.57
56;147.98;154.01;154.3;151.67;164.81
57;147.75;153.8;154.13;151.44;164.14
58;147.15;153.25;153.67;150.59;162.89
