;samples_mean;samples_min;samples_max;derivative_mean;derivative_min;derivative_max
0;287.84;287.84;287.84;287.84;287.84;287.84
1;284.684;283.53;286.97;279.394;278.29;283.81
2;275.96;273.94;281.14;269.986;268.49;274.18
3;271.55800000000005;269.02;278.56;262.5;260.75;264.77
4;270.066;268.97;271.29;255.946;254.44;258.16
5;269.994;268.9;271.2;249.66;248.2;251.51
6;265.044;264.06;265.96;244.484;243.31;246.2
7;264.494;263.59;265.31;239.0;237.48;240.09
8;262.602;261.34;263.9;234.32599999999996;232.89;235.44
9;259.166;257.35;263.57;229.612;224.81;233.79
