;derivative_mean;derivative_min;derivative_max;expVisits_mean;expVisits_min;expVisits_max;samples_mean;samples_min;samples_max
0;287.84;287.84;287.84;287.84;287.84;287.84;287.84;287.84;287.84
1;278.29;278.29;278.29;279.67333333333335;279.42;279.8;283.6566666666667;283.53;283.91
2;269.08666666666664;268.49;270.28;273.93;273.05;275.35;274.2966666666667;273.59;275.36
3;262.09999999999997;260.75;263.08;269.9766666666667;268.51;270.85;269.38;268.59;270.49
4;255.49666666666667;254.44;256.14;261.09999999999997;259.48;262.05;269.3333333333333;268.54;270.44
5;249.52999999999997;248.46;250.2;256.8933333333333;256.3;257.28;269.2666666666667;268.48;270.37
6;244.30333333333337;243.42;244.81;253.38333333333333;251.76;254.39;264.63000000000005;263.98;265.66
7;239.14333333333332;238.66;239.9;248.08;246.56;249.03;264.1266666666667;263.48;265.17
8;234.4333333333333;234.2;234.89;244.11;243.13;245.77;262.17333333333335;261.37;263.16
9;231.05666666666664;228.86;233.79;238.9433333333333;236.4;240.48;257.87000000000006;257.18;258.92
