;0;0;0
0;287.84;287.84;287.84
1;278.29;278.29;278.29
2;268.49;268.49;270.28
3;260.75;263.08;262.47
4;254.44;255.91;256.14
5;248.46;250.2;249.93
6;243.42;244.81;244.68
7;238.66;238.87;239.9
8;234.21;234.2;234.89
9;233.79;228.86;230.52
10;229.2;223.94;224.38
11;226.07;219.89;220.74
12;221.76;215.38;217.16
13;218.51;211.62;213.33
14;214.86;208.0;209.56
15;211.53;204.86;206.14
16;208.17;201.44;202.62
17;205.21;198.42;199.44
18;202.72;195.74;196.73
19;199.79;192.12;194.96
20;197.96;189.22;191.94
21;194.15;186.18;189.1
22;191.53;182.59;186.63
23;188.65;180.09;183.74
24;185.96;177.6;181.25
25;183.41;176.51;177.39
26;181.04;174.86;175.49
27;178.68;172.51;173.21
28;175.97;170.63;169.96
29;173.62;168.12;167.98
30;171.9;166.26;165.99
31;169.92;164.61;164.12
32;168.04;162.68;162.25
33;166.17;159.96;160.44
34;164.21;158.0;158.95
35;163.42;156.28;157.12
36;161.71;154.54;155.45
37;159.89;152.87;154.08
38;157.82;150.71;152.41
39;156.33;149.17;151.14
40;154.7;148.0;149.61
41;153.12;146.94;148.64
42;151.55;145.71;147.12
43;150.14;144.25;145.77
44;148.51;142.67;143.96
45;146.89;140.78;142.39
46;145.45;139.55;141.17
47;144.18;137.93;139.84
48;143.08;136.74;138.36
49;141.79;135.53;137.13
50;140.54;134.39;135.81
51;139.42;133.29;134.71
52;138.16;132.04;133.01
53;136.18;130.92;131.93
54;135.25;129.78;130.81
55;132.98;129.04;129.69
56;131.56;127.49;128.29
57;130.59;126.38;127.28
58;129.56;125.44;126.06
59;128.51;124.36;125.07
60;127.45;123.41;123.86
61;126.51;122.37;122.75
62;125.53;121.39;121.8
63;124.7;120.5;120.74
64;123.9;119.57;119.36
65;123.03;119.22;118.37
66;122.11;118.34;117.52
67;121.31;117.39;116.67
68;119.9;116.58;115.96
69;118.86;115.79;114.78
70;117.97;115.24;113.99
71;116.81;114.4;113.21
72;116.0;113.49;112.38
73;115.57;113.01;111.56
74;114.84;112.27;110.94
75;114.08;111.51;110.22
76;113.04;110.07;109.61
77;112.37;109.64;108.95
78;111.6;108.99;108.48
79;110.42;108.29;107.84
80;109.72;107.49;107.07
81;108.87;106.86;106.4
82;108.21;106.16;105.66
83;107.44;105.82;104.89
84;106.76;105.2;104.14
85;106.13;104.3;103.5
86;105.22;103.7;102.9
87;104.65;103.17;102.4
88;104.07;102.59;102.03
89;103.44;102.05;101.3
90;102.67;101.39;101.11
91;102.02;101.07;100.5
92;101.53;100.73;99.86
93;101.09;100.3;99.33
94;100.78;99.78;98.84
95;100.14;99.26;98.31
96;99.53;98.66;97.77
97;98.95;97.75;97.35
98;98.69;97.16;97.06
99;98.0;96.69;96.48
