;0;0;0
0;287.84;287.84;287.84
1;283.91;283.53;283.53
2;273.94;273.59;275.36
3;269.06;268.59;270.49
4;269.02;268.54;270.44
5;268.95;268.48;270.37
6;264.25;263.98;265.66
7;263.73;263.48;265.17
8;261.99;261.37;263.16
9;257.51;257.18;258.92
10;256.74;256.44;258.13
11;248.96;249.3;250.62
12;248.4;248.63;250.06
13;241.21;238.82;240.24
14;239.97;237.72;239.39
15;234.05;231.59;233.67
16;232.48;230.76;232.97
17;223.83;225.51;230.54
18;223.82;225.47;230.49
19;219.38;220.64;225.89
20;218.84;220.13;225.37
21;218.56;219.67;224.78
22;218.19;219.24;224.61
23;215.6;216.58;221.91
24;211.47;212.37;217.65
25;210.1;209.84;216.21
26;207.66;206.73;213.66
27;206.08;205.15;211.69
28;206.07;205.1;211.64
29;206.02;205.01;211.55
30;204.71;204.11;210.21
31;203.45;202.77;208.99
32;202.0;201.3;207.49
33;201.15;200.45;206.6
34;200.96;200.27;206.42
35;200.65;199.9;206.05
36;200.26;199.57;205.71
37;200.2;199.52;205.68
38;199.56;198.87;205.02
39;198.81;198.6;204.57
40;198.66;198.46;204.42
41;198.43;198.18;204.14
42;198.36;198.13;204.08
43;198.07;197.82;203.78
44;194.99;194.02;200.2
45;194.41;193.67;199.66
46;193.97;193.24;199.21
47;193.91;193.22;199.15
48;191.53;191.41;198.15
49;190.0;189.9;196.79
50;189.83;189.74;196.62
51;189.53;189.24;196.33
52;188.97;188.73;195.69
53;186.97;185.53;192.63
54;186.84;185.38;192.38
55;186.2;184.62;191.59
56;185.15;183.74;190.81
57;184.59;183.14;190.04
58;184.49;183.03;189.91
59;184.13;182.67;189.72
60;184.03;182.56;189.59
61;182.95;181.38;188.86
62;181.74;180.28;187.77
63;181.57;180.12;187.61
64;181.34;179.84;187.35
65;181.13;179.65;187.13
66;180.39;178.9;186.37
67;180.34;178.84;186.26
68;180.08;178.61;185.98
69;180.02;178.55;185.91
70;179.86;178.32;185.7
71;179.03;177.43;184.59
72;178.63;176.87;184.1
73;178.3;176.69;183.9
74;178.08;176.44;183.72
75;177.98;176.31;183.66
76;177.3;175.64;183.13
77;176.34;174.42;182.08
78;175.98;174.08;181.71
79;175.75;173.93;181.54
80;175.26;173.7;181.12
81;174.79;173.32;180.7
82;174.13;172.68;180.02
83;173.81;172.35;179.69
84;173.08;171.53;178.9
85;171.34;169.69;177.17
86;167.45;165.33;173.05
87;165.34;163.31;170.86
88;165.32;163.3;170.84
89;165.29;163.27;170.8
90;163.18;161.26;168.83
91;162.97;161.06;168.6
92;162.06;160.43;167.42
93;160.43;158.7;165.53
94;160.14;158.39;165.23
95;157.31;155.38;162.24
96;157.16;155.25;161.99
97;153.98;153.2;158.94
98;153.88;152.85;158.47
99;151.95;150.19;156.01
