;expVisits_mean;expVisits_min;expVisits_max
0;287.84;287.84;287.84
1;279.67333333333335;279.42;279.8
2;273.93;273.05;275.35
3;269.9766666666667;268.51;270.85
4;261.09999999999997;259.48;262.05
5;256.8933333333333;256.3;257.28
6;253.38333333333333;251.76;254.39
7;248.08;246.56;249.03
8;244.11;243.13;245.77
9;238.9433333333333;236.4;240.48
10;230.71666666666667;228.04;232.71
11;227.71666666666667;225.06;229.71
12;225.56000000000003;223.06;227.44
13;221.9;218.95;224.01
14;217.87666666666667;215.88;219.27
15;216.67666666666665;214.83;218.05
16;213.6833333333333;212.57;214.97
17;209.38666666666668;204.93;211.86
18;206.11;201.55;208.61
19;204.65;200.08;207.02
20;202.32666666666668;197.85;204.65
21;200.6833333333333;196.24;203.01
22;198.99;193.74;202.02
23;195.77666666666664;192.16;198.16
24;193.87666666666667;191.09;196.15
25;191.16333333333333;189.28;193.11
26;189.37;186.25;192.03
27;187.68999999999997;184.67;190.3
28;185.5533333333333;183.5;186.59
29;183.69000000000003;182.78;185.34
30;181.88;179.27;184.5
31;180.40666666666667;178.05;182.52
32;177.79333333333338;176.31;179.05
33;176.01999999999998;174.79;176.87
34;175.29;174.09;176.09
35;173.39333333333332;171.7;174.39
36;171.87;170.43;172.82
37;170.48000000000002;168.43;171.86
38;169.03666666666666;167.82;171.17
39;166.28333333333333;164.55;169.22
40;164.48000000000002;163.75;165.85
41;163.71;162.83;165.31
42;162.19333333333333;160.93;164.01
43;161.6;160.33;163.27
44;160.67666666666665;159.3;162.48
45;158.46666666666667;157.11;160.24
46;157.51666666666665;156.0;159.26
47;156.41;155.66;157.61
48;155.82666666666668;154.89;157.02
49;154.23666666666665;153.15;155.32
50;152.84333333333333;151.82;153.99
51;151.70000000000002;150.17;153.53
52;150.85333333333332;149.72;152.24
53;150.09333333333333;149.0;151.4
54;149.14333333333332;148.2;150.79
55;147.81666666666666;145.85;150.01
56;146.13666666666666;144.93;147.85
57;145.70666666666668;144.53;147.54
58;143.57666666666668;142.38;145.47
59;142.60999999999999;141.63;144.06
60;141.45666666666668;140.62;143.0
61;141.02333333333334;139.96;142.59
62;140.24666666666667;139.76;141.1
63;139.11333333333334;138.3;140.6
64;138.4366666666667;137.4;139.96
65;137.61666666666667;136.89;138.91
66;136.9466666666667;135.98;138.24
67;136.23333333333335;135.27;137.28
68;135.9;134.99;137.13
69;135.57666666666665;134.57;136.94
70;134.72666666666666;133.84;136.5
71;133.9333333333333;132.74;135.91
72;133.49;132.18;135.68
73;132.62666666666667;131.77;133.94
74;132.02;131.35;132.85
75;131.13;130.26;132.36
76;130.04;128.48;131.27
77;129.63666666666666;128.32;131.03
78;128.88333333333333;127.85;130.72
79;128.36666666666667;127.16;130.35
80;127.90666666666665;126.77;129.63
81;126.52333333333333;125.6;128.05
82;125.75;124.49;127.59
83;125.14333333333333;123.8;126.8
84;124.53000000000002;123.59;125.91
85;124.21;123.25;125.69
86;123.84666666666665;122.85;125.28
87;123.49666666666667;122.66;125.08
88;123.14666666666666;122.26;124.75
89;122.45666666666666;121.59;124.01
90;121.73333333333333;121.0;123.17
91;121.27333333333333;120.2;123.01
92;120.82000000000001;119.76;122.62
93;120.53333333333335;119.66;122.16
94;120.09333333333332;119.06;121.63
95;119.30666666666667;118.75;120.38
96;118.99333333333334;118.52;119.8
97;118.59333333333332;118.29;119.19
98;118.25999999999999;117.83;119.0
99;117.79333333333334;117.04;118.71
100;116.99000000000001;116.14;118.44
101;116.53666666666668;115.58;118.23
102;116.10333333333334;115.31;117.47
103;115.55000000000001;115.01;116.3
104;114.98;114.07;115.99
105;114.60666666666667;113.83;115.62
106;114.22666666666667;113.18;115.45
107;113.66666666666667;112.71;115.2
108;113.29333333333334;112.33;114.68
109;112.95333333333333;112.23;114.04
110;112.54666666666667;111.97;113.58
111;112.34999999999998;111.74;113.47
112;112.17333333333333;111.55;113.2
113;111.77;111.16;112.93
114;111.34333333333332;110.71;112.46
115;110.90999999999998;110.46;111.71
116;110.62;110.05;111.51
117;110.32666666666667;109.81;111.36
118;110.08333333333333;109.54;111.14
119;109.64999999999999;108.94;110.89
120;109.16666666666667;108.33;110.29
121;108.88333333333333;108.13;109.87
122;108.61666666666666;107.61;109.71
123;108.22333333333331;107.43;109.35
124;107.78000000000002;106.88;108.65
125;107.59666666666668;106.67;108.45
126;107.24666666666667;106.37;108.22
127;106.72666666666667;105.55;107.7
128;106.49666666666667;105.48;107.57
129;106.24333333333334;105.26;107.2
130;105.95666666666666;104.92;106.98
131;105.64333333333333;104.69;106.38
132;105.5;104.51;106.3
