;0;0;0
0;287.84;287.84;287.84
1;278.29;278.29;278.29
2;268.49;268.49;270.28
3;262.73;256.22;263.76
4;256.22;250.17;257.33
5;251.26;245.35;252.52
6;246.45;241.44;248.21
7;242.63;235.5;243.81
8;235.22;232.31;236.9
9;234.38;228.89;233.64
10;231.02;226.67;230.11
11;229.07;222.18;228.15
12;224.43;220.64;223.45
13;221.61;218.16;220.87
14;220.64;217.36;218.94
15;218.8;215.67;216.81
16;215.85;212.19;213.17
17;213.48;210.74;212.31
18;212.3;207.0;210.83
19;210.19;205.31;207.22
20;206.6;203.65;205.64
21;206.26;200.84;203.24
22;203.45;200.73;201.38
23;201.84;199.17;199.78
24;200.88;195.05;194.86
25;199.73;194.59;193.3
26;198.67;192.27;191.31
27;193.96;189.43;188.32
28;191.51;188.38;187.25
29;188.33;185.87;184.77
30;185.86;185.46;183.77
31;184.66;184.18;182.31
32;183.4;182.7;181.28
33;181.96;181.17;180.67
34;181.19;177.52;177.01
35;177.38;176.95;176.34
36;176.4;176.0;175.35
37;175.71;174.7;173.96
38;174.43;172.44;172.21
39;172.74;171.21;171.38
40;171.79;169.56;169.05
41;170.94;168.22;166.45
42;168.48;165.87;165.49
43;166.33;165.24;164.42
44;165.83;164.09;163.8
45;165.3;163.57;163.0
46;164.26;163.09;160.57
47;163.46;160.8;160.11
48;162.93;160.18;159.14
49;161.58;159.45;156.92
50;159.26;157.31;155.74
51;158.39;156.01;155.05
52;156.22;154.27;154.37
53;156.27;153.67;152.99
54;155.88;153.13;151.6
55;155.2;152.75;150.94
56;153.34;152.28;150.26
57;152.6;150.76;149.77
58;151.33;150.33;148.74
59;150.79;150.06;148.87
60;150.18;148.38;148.07
61;149.14;147.4;146.46
62;148.82;147.07;145.83
63;148.5;146.52;145.66
64;148.05;145.92;145.27
65;146.4;144.35;144.9
66;145.96;144.05;143.45
67;145.4;143.54;142.12
68;142.62;143.02;141.8
69;141.16;141.49;141.14
70;140.62;141.28;140.13
71;139.85;139.99;139.86
72;139.45;137.39;139.07
73;138.64;137.08;136.48
74;137.56;135.88;135.24
75;136.81;135.16;134.75
76;136.27;134.79;134.63
77;135.9;134.16;134.2
78;135.63;133.84;134.01
79;134.45;133.72;133.89
80;134.01;133.61;133.61
81;133.68;133.18;133.17
82;133.39;132.75;133.0
83;132.27;131.71;132.38
84;131.65;130.72;131.46
85;131.47;130.04;130.69
86;130.51;129.11;129.72
87;129.75;127.22;127.82
88;127.9;127.27;127.61
89;127.6;126.71;127.15
90;127.58;126.41;126.19
91;127.3;126.16;125.9
92;127.13;126.16;125.51
93;126.92;125.91;125.19
94;126.04;125.76;124.7
95;125.51;125.53;124.43
96;125.21;125.26;124.2
97;124.95;124.51;123.86
98;124.8;124.37;123.74
99;124.7;123.85;122.94
100;122.99;123.08;121.39
101;122.72;121.48;120.69
102;121.98;120.78;120.51
103;121.32;120.02;119.81
104;121.35;119.81;119.74
105;120.66;119.77;118.99
106;120.35;119.46;118.69
107;120.13;119.08;118.25
108;119.7;118.77;117.94
109;119.44;118.37;117.83
110;118.77;117.8;117.59
111;118.59;117.57;117.41
112;118.25;117.42;117.38
113;118.12;117.04;116.14
114;117.95;115.78;116.0
115;116.64;115.52;115.48
116;116.45;114.95;115.23
117;116.01;114.73;114.98
118;115.76;114.32;114.37
119;115.12;113.76;113.78
120;114.54;113.6;113.6
121;114.19;113.29;113.24
122;114.01;113.21;113.15
123;114.0;112.63;112.63
124;113.43;112.28;111.48
125;113.28;112.26;111.26
126;113.18;112.09;111.09
127;113.09;111.51;111.02
128;112.92;111.22;110.94
129;112.73;110.13;110.23
130;112.4;109.61;110.12
131;111.81;109.53;109.79
132;110.74;109.28;109.46
133;110.22;108.86;109.3
134;110.06;108.78;108.81
135;109.97;108.74;108.7
136;109.48;108.63;108.26
137;109.05;108.35;108.07
138;108.87;107.92;108.15
139;108.78;107.91;108.07
140;107.9;107.48;107.92
141;107.71;107.33;107.02
142;107.56;106.51;106.63
143;107.14;106.29;106.62
144;106.9;106.17;105.0
145;106.72;106.09;104.74
146;106.46;104.33;104.67
147;106.26;104.18;104.52
148;105.14;103.93;103.66
149;104.99;103.57;103.51
150;104.64;103.52;103.12
151;104.49;103.29;103.05
152;104.26;103.02;102.96
153;103.85;102.24;102.65
154;103.49;102.1;102.32
155;103.41;101.71;102.12
156;102.66;101.35;102.05
157;102.61;101.27;101.81
158;102.37;101.11;101.66
159;102.23;101.16;101.6
160;102.18;101.15;101.52
161;101.83;100.92;101.18
162;101.73;100.8;100.85
163;101.6;100.65;100.79
164;101.24;100.36;100.67
165;101.27;100.23;100.36
166;101.08;100.06;100.2
167;100.87;100.0;100.12
168;100.78;99.92;99.77
169;100.48;99.6;99.13
170;99.85;98.95;98.92
171;99.64;98.49;98.81
172;99.1;98.26;98.74
173;99.0;98.06;98.67
174;98.61;97.78;98.6
175;98.32;97.67;98.29
176;98.25;97.64;97.98
177;98.15;97.52;97.96
178;97.56;97.42;97.35
179;97.42;97.37;97.23
180;97.38;97.06;97.07
181;97.26;96.45;96.97
182;97.07;96.34;96.68
183;96.79;96.2;96.57
184;96.67;95.91;96.28
185;96.54;95.83;96.21
186;96.28;95.65;96.01
187;96.16;95.45;95.9
188;95.89;95.4;95.79
189;95.78;95.31;95.49
190;95.69;95.15;95.35
191;95.44;95.06;95.21
192;95.36;94.86;95.04
193;95.19;94.75;94.52
194;95.2;94.63;94.44
195;95.1;94.09;94.35
196;94.09;94.11;94.28
197;93.61;93.77;93.61
198;93.11;93.6;93.12
199;92.97;93.52;93.13
200;92.9;93.3;93.04
201;92.83;93.32;92.8
202;92.59;92.44;92.57
203;92.37;91.98;92.4
204;92.2;91.88;92.38
205;92.06;91.81;92.32
206;92.03;91.75;92.17
207;91.88;91.52;92.07
208;91.8;91.44;91.84
209;91.74;91.46;91.84
210;91.57;91.32;91.73
211;91.43;91.17;91.75
212;91.34;90.98;91.63
213;91.26;90.89;91.58
214;91.19;90.84;91.51
215;90.96;90.5;91.37
216;90.83;90.29;91.21
217;90.76;90.27;91.02
218;90.7;90.17;90.62
219;90.5;90.15;90.52
220;90.27;89.79;90.44
221;90.04;89.56;90.21
222;90.04;89.5;90.06
223;89.97;89.4;90.05
224;89.81;89.17;89.85
225;89.77;88.77;89.44
226;89.32;88.65;89.41
227;89.29;88.57;89.36
228;88.88;88.39;89.29
229;88.77;88.3;89.17
230;88.7;88.3;88.61
231;88.07;88.25;88.58
232;88.0;88.17;88.51
233;87.96;87.63;88.31
234;87.75;87.57;88.24
235;87.72;87.4;88.21
236;87.67;87.37;88.04
237;87.52;87.23;87.95
238;87.34;87.05;87.77
239;87.15;87.0;87.61
240;87.07;86.92;87.61
241;86.96;86.73;87.56
242;86.93;86.57;87.44
243;86.88;86.54;87.34
244;86.85;86.5;87.3
