;derivative_mean;derivative_min;derivative_max;expVisits_mean;expVisits_min;expVisits_max;samples_mean;samples_min;samples_max;random_mean;random_min;random_max
0;44.480000000000004;44.48;44.48;44.480000000000004;44.48;44.48;44.480000000000004;44.48;44.48;44.480000000000004;44.48;44.48
1;42.656000000000006;41.09;44.15;42.656000000000006;41.09;44.15;42.661;41.09;44.31;43.665;42.9;44.19
2;40.839;39.1;42.48;41.57600000000001;40.13;43.24;40.965;39.1;42.48;41.864999999999995;40.02;43.16
3;39.63499999999999;38.09;41.92;40.57099999999999;39.25;42.5;40.141000000000005;38.47;42.09;40.451;37.96;42.02
4;38.297;36.6;40.91;38.842;37.14;41.52;38.971999999999994;37.09;41.06;39.453;37.05;40.87
5;37.396;35.6;39.69;37.92;36.23;39.75;37.767;35.62;40.02;38.134;36.11;39.48
6;36.444;34.65;38.24;37.225;35.64;38.58;37.127;35.11;38.33;37.221000000000004;35.31;38.13
7;35.763999999999996;34.02;37.83;36.225;34.33;38.53;36.298;34.55;38.26;36.55200000000001;34.69;37.85
8;35.03399999999999;33.32;36.3;35.479;33.95;36.66;35.38;33.68;36.48;36.007;33.93;37.17
9;34.379000000000005;32.92;35.5;34.951;33.03;36.21;34.933;33.29;35.98;35.437;33.52;36.51
