;expVisits_mean;expVisits_min;expVisits_max;samples_mean;samples_min;samples_max
0;275.59;275.59;275.59;275.59;275.59;275.59
1;269.13;269.13;269.13;274.03;274.03;274.03
2;264.44;264.44;264.44;264.44;264.44;264.44
3;260.85;260.85;260.85;260.75;260.75;260.75
4;256.19;256.19;256.19;260.73;260.73;260.73
5;252.61;252.61;252.61;260.66;260.66;260.66
6;247.88;247.88;247.88;256.53;256.53;256.53
7;238.55;238.55;238.55;256.3;256.3;256.3
8;235.91;235.91;235.91;254.96;254.96;254.96
9;231.7;231.7;231.7;250.45;250.45;250.45
10;229.65;229.65;229.65;242.31;242.31;242.31
11;226.58;226.58;226.58;236.74;236.74;236.74
12;224.27;224.27;224.27;236.59;236.59;236.59
13;218.38;218.38;218.38;228.11;228.11;228.11
14;216.22;216.22;216.22;226.61;226.61;226.61
15;214.71;214.71;214.71;220.84;220.84;220.84
16;213.1;213.1;213.1;218.35;218.35;218.35
17;211.17;211.17;211.17;216.85;216.85;216.85
18;207.18;207.18;207.18;216.85;216.85;216.85
19;204.76;204.76;204.76;212.93;212.93;212.93
20;203.39;203.39;203.39;212.53;212.53;212.53
21;198.35;198.35;198.35;212.45;212.45;212.45
22;196.41;196.41;196.41;212.43;212.43;212.43
23;193.13;193.13;193.13;210.69;210.69;210.69
24;192.03;192.03;192.03;207.13;207.13;207.13
25;190.9;190.9;190.9;206.31;206.31;206.31
26;189.33;189.33;189.33;205.63;205.63;205.63
27;187.96;187.96;187.96;205.54;205.54;205.54
28;186.97;186.97;186.97;205.53;205.53;205.53
29;184.4;184.4;184.4;205.47;205.47;205.47
30;183.63;183.63;183.63;203.46;203.46;203.46
31;181.9;181.9;181.9;202.42;202.42;202.42
32;178.61;178.61;178.61;199.8;199.8;199.8
33;177.68;177.68;177.68;198.27;198.27;198.27
34;176.51;176.51;176.51;198.1;198.1;198.1
35;174.2;174.2;174.2;197.65;197.65;197.65
36;168.2;168.2;168.2;196.94;196.94;196.94
37;167.55;167.55;167.55;196.85;196.85;196.85
38;166.41;166.41;166.41;196.25;196.25;196.25
39;165.59;165.59;165.59;195.45;195.45;195.45
40;165.01;165.01;165.01;195.24;195.24;195.24
41;164.14;164.14;164.14;195.05;195.05;195.05
42;162.52;162.52;162.52;195.0;195.0;195.0
43;161.52;161.52;161.52;194.92;194.92;194.92
44;159.42;159.42;159.42;191.46;191.46;191.46
45;158.92;158.92;158.92;190.65;190.65;190.65
46;158.04;158.04;158.04;190.16;190.16;190.16
47;157.48;157.48;157.48;190.11;190.11;190.11
48;152.15;152.15;152.15;189.68;189.68;189.68
49;150.07;150.07;150.07;188.58;188.58;188.58
50;148.8;148.8;148.8;188.41;188.41;188.41
51;148.37;148.37;148.37;187.8;187.8;187.8
52;147.69;147.69;147.69;187.52;187.52;187.52
53;147.29;147.29;147.29;186.71;186.71;186.71
54;146.95;146.95;146.95;186.45;186.45;186.45
55;146.4;146.4;146.4;186.21;186.21;186.21
56;145.97;145.97;145.97;183.72;183.72;183.72
57;144.95;144.95;144.95;183.18;183.18;183.18
58;144.41;144.41;144.41;183.07;183.07;183.07
59;144.07;144.07;144.07;182.61;182.61;182.61
60;143.18;143.18;143.18;182.59;182.59;182.59
61;141.73;141.73;141.73;181.9;181.9;181.9
62;140.74;140.74;140.74;181.3;181.3;181.3
63;138.13;138.13;138.13;181.17;181.17;181.17
64;137.78;137.78;137.78;180.8;180.8;180.8
65;137.5;137.5;137.5;180.34;180.34;180.34
66;137.02;137.02;137.02;179.82;179.82;179.82
67;135.51;135.51;135.51;179.74;179.74;179.74
68;135.13;135.13;135.13;179.59;179.59;179.59
69;134.41;134.41;134.41;179.38;179.38;179.38
70;134.16;134.16;134.16;179.31;179.31;179.31
71;133.75;133.75;133.75;179.06;179.06;179.06
72;133.19;133.19;133.19;178.61;178.61;178.61
73;132.58;132.58;132.58;177.98;177.98;177.98
74;132.32;132.32;132.32;177.59;177.59;177.59
75;131.87;131.87;131.87;177.39;177.39;177.39
76;128.94;128.94;128.94;176.99;176.99;176.99
77;126.42;126.42;126.42;176.31;176.31;176.31
78;125.4;125.4;125.4;176.18;176.18;176.18
79;124.78;124.78;124.78;175.75;175.75;175.75
80;124.54;124.54;124.54;174.79;174.79;174.79
81;124.15;124.15;124.15;174.54;174.54;174.54
82;123.93;123.93;123.93;173.44;173.44;173.44
83;123.63;123.63;123.63;173.23;173.23;173.23
84;122.61;122.61;122.61;172.86;172.86;172.86
85;122.17;122.17;122.17;172.17;172.17;172.17
86;121.98;121.98;121.98;167.57;167.57;167.57
87;121.45;121.45;121.45;165.96;165.96;165.96
88;121.24;121.24;121.24;165.94;165.94;165.94
89;120.87;120.87;120.87;165.92;165.92;165.92
90;120.65;120.65;120.65;163.88;163.88;163.88
91;120.15;120.15;120.15;163.77;163.77;163.77
92;118.76;118.76;118.76;162.89;162.89;162.89
93;118.5;118.5;118.5;161.41;161.41;161.41
94;118.32;118.32;118.32;158.52;158.52;158.52
95;117.5;117.5;117.5;155.91;155.91;155.91
96;117.04;117.04;117.04;155.87;155.87;155.87
97;116.83;116.83;116.83;151.86;151.86;151.86
98;116.35;116.35;116.35;151.72;151.72;151.72
99;116.17;116.17;116.17;149.15;149.15;149.15
100;116.03;116.03;116.03;148.06;148.06;148.06
101;115.27;115.27;115.27;146.61;146.61;146.61
102;115.13;115.13;115.13;146.59;146.59;146.59
103;114.84;114.84;114.84;144.72;144.72;144.72
104;114.24;114.24;114.24;144.5;144.5;144.5
105;114.06;114.06;114.06;144.02;144.02;144.02
106;113.68;113.68;113.68;144.01;144.01;144.01
107;111.64;111.64;111.64;143.17;143.17;143.17
108;111.33;111.33;111.33;141.33;141.33;141.33
109;111.21;111.21;111.21;140.94;140.94;140.94
110;110.9;110.9;110.9;140.49;140.49;140.49
111;110.66;110.66;110.66;140.46;140.46;140.46
112;110.47;110.47;110.47;140.44;140.44;140.44
113;110.33;110.33;110.33;140.43;140.43;140.43
114;109.11;109.11;109.11;139.4;139.4;139.4
115;108.42;108.42;108.42;139.2;139.2;139.2
116;108.18;108.18;108.18;137.54;137.54;137.54
117;107.89;107.89;107.89;137.08;137.08;137.08
118;107.77;107.77;107.77;136.99;136.99;136.99
119;107.57;107.57;107.57;136.71;136.71;136.71
120;106.51;106.51;106.51;136.37;136.37;136.37
121;106.28;106.28;106.28;136.33;136.33;136.33
122;106.13;106.13;106.13;136.05;136.05;136.05
123;105.49;105.49;105.49;135.64;135.64;135.64
124;105.38;105.38;105.38;135.52;135.52;135.52
125;105.09;105.09;105.09;135.42;135.42;135.42
126;104.98;104.98;104.98;135.39;135.39;135.39
127;103.6;103.6;103.6;135.3;135.3;135.3
128;103.42;103.42;103.42;133.32;133.32;133.32
129;102.88;102.88;102.88;132.93;132.93;132.93
130;102.61;102.61;102.61;132.71;132.71;132.71
131;101.2;101.2;101.2;132.7;132.7;132.7
132;101.03;101.03;101.03;132.2;132.2;132.2
133;100.74;100.74;100.74;131.66;131.66;131.66
134;100.62;100.62;100.62;131.57;131.57;131.57
135;100.52;100.52;100.52;131.27;131.27;131.27
136;100.29;100.29;100.29;131.13;131.13;131.13
137;99.87;99.87;99.87;130.48;130.48;130.48
138;99.78;99.78;99.78;130.19;130.19;130.19
139;99.6;99.6;99.6;130.01;130.01;130.01
140;99.42;99.42;99.42;128.92;128.92;128.92
141;99.28;99.28;99.28;128.79;128.79;128.79
142;99.06;99.06;99.06;128.74;128.74;128.74
143;98.97;98.97;98.97;128.51;128.51;128.51
144;98.52;98.52;98.52;128.48;128.48;128.48
145;98.35;98.35;98.35;127.84;127.84;127.84
146;98.26;98.26;98.26;127.14;127.14;127.14
147;97.86;97.86;97.86;127.08;127.08;127.08
148;97.68;97.68;97.68;126.74;126.74;126.74
149;97.56;97.56;97.56;126.37;126.37;126.37
150;97.4;97.4;97.4;126.08;126.08;126.08
151;97.34;97.34;97.34;125.96;125.96;125.96
152;95.88;95.88;95.88;125.88;125.88;125.88
153;95.75;95.75;95.75;125.8;125.8;125.8
154;94.68;94.68;94.68;125.72;125.72;125.72
155;94.62;94.62;94.62;125.08;125.08;125.08
156;94.22;94.22;94.22;124.98;124.98;124.98
157;94.04;94.04;94.04;124.76;124.76;124.76
158;93.71;93.71;93.71;124.6;124.6;124.6
159;93.51;93.51;93.51;124.44;124.44;124.44
160;93.41;93.41;93.41;124.28;124.28;124.28
161;93.3;93.3;93.3;123.64;123.64;123.64
162;93.24;93.24;93.24;123.59;123.59;123.59
163;93.06;93.06;93.06;123.45;123.45;123.45
164;92.65;92.65;92.65;123.34;123.34;123.34
165;92.32;92.32;92.32;123.35;123.35;123.35
166;91.96;91.96;91.96;122.92;122.92;122.92
167;91.89;91.89;91.89;122.85;122.85;122.85
168;91.76;91.76;91.76;122.48;122.48;122.48
169;91.68;91.68;91.68;122.15;122.15;122.15
170;91.58;91.58;91.58;119.65;119.65;119.65
171;91.41;91.41;91.41;118.8;118.8;118.8
172;91.2;91.2;91.2;118.79;118.79;118.79
173;91.14;91.14;91.14;118.78;118.78;118.78
174;90.96;90.96;90.96;118.06;118.06;118.06
175;90.9;90.9;90.9;118.01;118.01;118.01
176;90.28;90.28;90.28;117.41;117.41;117.41
177;90.02;90.02;90.02;116.51;116.51;116.51
178;89.84;89.84;89.84;115.33;115.33;115.33
179;89.71;89.71;89.71;113.96;113.96;113.96
180;89.25;89.25;89.25;113.95;113.95;113.95
181;88.96;88.96;88.96;111.13;111.13;111.13
182;88.88;88.88;88.88;110.86;110.86;110.86
183;88.82;88.82;88.82;109.47;109.47;109.47
184;88.67;88.67;88.67;108.76;108.76;108.76
185;88.6;88.6;88.6;107.66;107.66;107.66
186;88.54;88.54;88.54;107.66;107.66;107.66
187;88.43;88.43;88.43;106.64;106.64;106.64
188;88.31;88.31;88.31;106.56;106.56;106.56
189;88.22;88.22;88.22;106.43;106.43;106.43
190;87.74;87.74;87.74;106.42;106.42;106.42
191;87.69;87.69;87.69;105.93;105.93;105.93
192;87.54;87.54;87.54;104.75;104.75;104.75
193;86.82;86.82;86.82;104.54;104.54;104.54
194;86.48;86.48;86.48;104.29;104.29;104.29
195;86.42;86.42;86.42;104.28;104.28;104.28
196;86.19;86.19;86.19;104.26;104.26;104.26
197;86.11;86.11;86.11;104.22;104.22;104.22
198;85.95;85.95;85.95;103.65;103.65;103.65
199;85.71;85.71;85.71;103.32;103.32;103.32
200;85.58;85.58;85.58;102.47;102.47;102.47
201;85.52;85.52;85.52;101.95;101.95;101.95
202;85.41;85.41;85.41;101.9;101.9;101.9
203;85.36;85.36;85.36;101.77;101.77;101.77
204;84.89;84.89;84.89;101.65;101.65;101.65
205;84.75;84.75;84.75;101.6;101.6;101.6
206;84.38;84.38;84.38;101.46;101.46;101.46
207;84.33;84.33;84.33;101.3;101.3;101.3
208;84.24;84.24;84.24;101.24;101.24;101.24
209;84.18;84.18;84.18;101.18;101.18;101.18
210;84.1;84.1;84.1;101.15;101.15;101.15
211;84.04;84.04;84.04;101.16;101.16;101.16
212;83.97;83.97;83.97;100.05;100.05;100.05
213;83.86;83.86;83.86;99.83;99.83;99.83
214;83.23;83.23;83.23;99.71;99.71;99.71
215;83.17;83.17;83.17;99.68;99.68;99.68
216;82.96;82.96;82.96;99.29;99.29;99.29
217;82.73;82.73;82.73;98.98;98.98;98.98
218;82.62;82.62;82.62;98.93;98.93;98.93
219;82.58;82.58;82.58;98.81;98.81;98.81
220;82.51;82.51;82.51;98.73;98.73;98.73
221;82.22;82.22;82.22;98.35;98.35;98.35
222;82.17;82.17;82.17;98.17;98.17;98.17
223;82.06;82.06;82.06;98.09;98.09;98.09
224;81.96;81.96;81.96;97.62;97.62;97.62
225;81.89;81.89;81.89;97.32;97.32;97.32
226;81.79;81.79;81.79;97.33;97.33;97.33
227;81.75;81.75;81.75;97.21;97.21;97.21
228;81.7;81.7;81.7;97.21;97.21;97.21
229;81.65;81.65;81.65;96.75;96.75;96.75
230;81.43;81.43;81.43;96.35;96.35;96.35
231;80.85;80.85;80.85;96.32;96.32;96.32
232;80.74;80.74;80.74;96.21;96.21;96.21
233;80.69;80.69;80.69;96.05;96.05;96.05
234;80.38;80.38;80.38;95.91;95.91;95.91
235;80.24;80.24;80.24;95.85;95.85;95.85
236;80.03;80.03;80.03;95.81;95.81;95.81
237;79.96;79.96;79.96;95.76;95.76;95.76
238;79.93;79.93;79.93;95.72;95.72;95.72
239;79.37;79.37;79.37;95.42;95.42;95.42
240;79.28;79.28;79.28;95.27;95.27;95.27
241;79.22;79.22;79.22;95.13;95.13;95.13
242;79.12;79.12;79.12;95.08;95.08;95.08
243;78.85;78.85;78.85;95.01;95.01;95.01
244;78.82;78.82;78.82;94.93;94.93;94.93
245;78.77;78.77;78.77;94.57;94.57;94.57
246;78.74;78.74;78.74;94.54;94.54;94.54
247;78.65;78.65;78.65;94.43;94.43;94.43
248;78.59;78.59;78.59;94.2;94.2;94.2
249;78.54;78.54;78.54;94.1;94.1;94.1
250;78.45;78.45;78.45;93.79;93.79;93.79
251;78.42;78.42;78.42;93.61;93.61;93.61
252;78.19;78.19;78.19;93.66;93.66;93.66
253;77.7;77.7;77.7;93.46;93.46;93.46
254;77.65;77.65;77.65;92.21;92.21;92.21
255;77.5;77.5;77.5;91.7;91.7;91.7
256;77.39;77.39;77.39;91.69;91.69;91.69
257;77.31;77.31;77.31;91.69;91.69;91.69
258;77.25;77.25;77.25;91.1;91.1;91.1
259;77.21;77.21;77.21;91.09;91.09;91.09
260;77.17;77.17;77.17;90.75;90.75;90.75
261;76.84;76.84;76.84;90.24;90.24;90.24
262;76.51;76.51;76.51;88.74;88.74;88.74
263;76.49;76.49;76.49;87.89;87.89;87.89
264;76.42;76.42;76.42;87.84;87.84;87.84
265;75.82;75.82;75.82;86.55;86.55;86.55
266;75.74;75.74;75.74;86.37;86.37;86.37
267;75.69;75.69;75.69;85.55;85.55;85.55
268;75.61;75.61;75.61;85.08;85.08;85.08
269;75.48;75.48;75.48;84.87;84.87;84.87
270;75.44;75.44;75.44;84.86;84.86;84.86
271;75.4;75.4;75.4;84.19;84.19;84.19
272;75.35;75.35;75.35;84.12;84.12;84.12
273;75.32;75.32;75.32;83.96;83.96;83.96
274;75.14;75.14;75.14;83.95;83.95;83.95
