;0
0;275.59
1;275.18
2;269.95
3;263.15
4;258.36
5;258.1
6;252.07
7;251.83
8;248.4
9;240.12
10;239.81
11;239.59
12;236.21
13;233.74
14;229.55
15;225.48
16;220.22
17;218.12
18;212.16
19;209.31
20;208.61
21;200.7
22;196.29
23;194.74
24;192.79
25;188.44
26;186.94
27;186.58
28;185.47
29;184.03
30;181.74
31;180.09
32;179.13
33;178.47
34;178.07
35;177.83
36;177.49
37;177.28
38;176.82
39;173.93
40;171.75
41;170.01
42;166.71
43;164.94
44;164.26
45;163.38
46;161.99
47;160.52
48;159.43
49;157.98
50;157.1
51;155.44
52;154.78
53;152.54
54;151.77
55;149.85
56;147.49
57;147.14
58;146.61
59;146.19
60;146.15
61;145.83
62;145.69
63;144.62
64;142.2
65;141.11
66;140.72
67;139.92
68;139.31
69;138.79
70;138.07
71;137.52
72;136.64
73;136.14
74;135.09
75;134.76
76;133.91
77;133.29
78;133.27
79;132.94
80;131.24
81;131.01
82;130.68
83;130.63
84;129.85
85;129.79
86;129.41
87;128.87
88;128.58
89;126.2
90;126.0
91;125.51
92;125.0
93;124.58
94;123.87
95;123.75
96;122.53
97;122.46
98;122.41
99;121.55
100;119.93
101;119.83
102;118.89
103;117.46
104;117.36
105;116.93
106;116.85
107;115.91
108;114.91
109;112.24
110;111.82
111;111.68
112;111.03
113;110.96
114;110.74
115;110.68
116;110.14
117;110.13
118;109.48
119;108.74
120;108.25
121;106.8
122;106.37
123;106.29
124;105.92
125;105.61
126;104.92
127;104.51
128;104.26
129;104.01
130;103.69
131;100.85
132;100.18
133;100.14
134;99.74
135;99.18
136;99.02
137;97.9
138;97.27
139;96.99
140;96.79
141;96.44
142;96.11
143;95.92
144;95.55
145;95.46
146;94.94
147;94.3
148;94.29
149;93.84
150;93.84
151;93.31
152;91.65
153;91.3
154;91.12
155;90.23
156;90.09
157;89.76
158;89.66
159;88.84
160;88.32
161;88.06
162;87.43
163;87.19
164;87.15
165;86.93
166;86.83
167;86.34
168;86.21
169;86.01
170;85.97
171;85.57
172;84.98
173;84.92
174;84.68
175;84.48
176;83.84
177;83.33
178;83.18
179;83.01
180;82.62
181;82.56
182;82.37
183;82.19
184;81.19
185;80.9
186;80.83
187;79.93
188;78.57
189;78.52
190;78.12
191;77.68
192;77.37
193;77.13
194;76.83
195;76.55
196;76.12
197;75.96
198;75.66
199;75.35
200;74.97
201;74.69
202;74.43
203;74.4
204;73.42
205;73.25
206;72.94
207;72.74
208;72.49
209;72.38
210;72.37
211;72.3
212;71.91
213;71.68
214;71.33
215;70.92
216;70.26
217;70.13
218;69.99
219;69.84
220;69.8
221;69.53
222;69.39
223;68.72
224;68.6
225;68.59
226;68.31
227;68.21
228;68.03
229;68.01
230;67.24
231;67.14
232;66.9
233;66.31
234;66.03
235;65.94
236;65.83
237;65.75
238;65.72
239;65.67
240;65.31
241;65.16
242;65.03
243;64.9
244;64.7
245;64.66
246;64.57
247;64.44
248;64.33
249;64.1
250;64.01
251;63.42
252;63.33
253;63.05
254;62.77
255;62.69
256;62.56
257;62.11
258;62.0
259;61.81
260;61.73
261;61.63
262;61.43
263;61.19
264;61.15
265;61.03
266;60.82
267;60.64
268;60.5
269;60.27
270;60.21
271;60.05
272;60.0
273;59.98
274;59.95
275;59.86
276;59.84
277;59.65
278;59.64
279;59.24
280;59.19
281;59.03
282;58.76
283;58.67
284;58.61
285;58.43
286;58.36
287;58.28
288;58.19
289;58.17
290;57.99
291;57.96
292;57.82
293;57.8
294;57.59
295;57.49
296;57.03
297;56.99
298;56.87
299;56.71
300;56.53
301;56.44
302;56.43
303;56.33
304;56.32
305;56.24
306;56.19
307;56.15
308;56.07
309;56.03
310;55.3
311;55.14
312;55.12
313;54.93
314;54.79
315;54.72
316;54.65
317;54.52
318;54.29
319;54.23
320;54.2
321;54.07
322;54.0
323;53.93
324;53.91
325;53.81
326;53.72
327;53.66
328;53.63
329;53.55
330;53.48
331;53.36
332;53.3
333;53.29
334;53.26
335;52.99
336;52.79
337;52.66
338;52.59
339;52.4
340;52.39
341;52.38
342;52.25
343;52.25
344;52.23
345;52.17
346;52.09
347;52.03
348;51.96
349;51.87
350;51.84
351;51.78
352;51.72
353;51.62
354;51.57
355;51.5
356;51.48
357;51.32
358;51.29
359;51.19
360;51.06
361;51.01
362;50.9
363;50.63
364;50.61
365;50.6
366;50.55
367;50.44
368;50.4
369;50.39
370;50.33
371;50.25
372;50.12
373;50.01
374;49.9
375;49.88
376;49.56
377;49.55
378;49.5
379;49.48
380;49.43
381;49.39
382;49.37
383;49.23
384;49.04
385;49.04
386;49.01
387;48.92
388;48.85
389;48.82
390;48.8
391;48.74
392;48.6
393;48.55
394;48.19
395;48.12
396;47.92
397;47.83
398;47.69
399;47.6
400;47.56
401;47.45
402;47.38
403;47.28
404;47.22
405;47.14
406;47.04
407;46.88
408;46.84
409;46.76
410;46.72
411;46.65
412;46.58
413;46.48
414;46.34
415;46.24
416;46.16
417;45.98
418;45.91
419;45.86
420;45.67
421;45.61
422;45.61
423;45.56
424;45.47
425;45.4
426;45.35
427;45.28
428;45.23
429;45.18
430;45.13
431;45.1
432;44.89
433;44.9
434;44.86
435;44.71
436;44.69
437;44.64
438;44.47
439;44.42
440;44.34
441;44.25
442;44.16
443;44.1
444;43.98
445;43.93
446;43.91
447;43.89
448;43.78
449;43.76
450;43.71
451;43.65
452;43.61
453;43.43
454;43.4
455;43.34
456;43.33
457;43.34
458;43.32
459;43.27
460;43.26
461;43.24
462;43.2
463;43.2
