;derivative_mean;derivative_min;derivative_max;expVisits_mean;expVisits_min;expVisits_max;expVisits_sampling_mean;expVisits_sampling_min;expVisits_sampling_max
0;275.59;275.59;275.59;275.59;275.59;275.59;275.59;275.59;275.59
1;264.83;264.83;264.83;269.13;269.13;269.13;275.18;275.18;275.18
2;255.62;255.62;255.62;264.44;264.44;264.44;269.95;269.95;269.95
3;248.82;248.82;248.82;260.85;260.85;260.85;263.15;263.15;263.15
4;241.43;241.43;241.43;256.19;256.19;256.19;258.36;258.36;258.36
5;234.77;234.77;234.77;252.61;252.61;252.61;258.1;258.1;258.1
6;228.86;228.86;228.86;247.88;247.88;247.88;252.07;252.07;252.07
7;223.52;223.52;223.52;238.55;238.55;238.55;251.83;251.83;251.83
8;216.75;216.75;216.75;235.91;235.91;235.91;248.4;248.4;248.4
9;213.77;213.77;213.77;231.7;231.7;231.7;240.12;240.12;240.12
10;209.34;209.34;209.34;229.65;229.65;229.65;239.81;239.81;239.81
11;205.91;205.91;205.91;226.58;226.58;226.58;239.59;239.59;239.59
12;202.26;202.26;202.26;224.27;224.27;224.27;236.21;236.21;236.21
13;198.61;198.61;198.61;218.38;218.38;218.38;233.74;233.74;233.74
14;195.99;195.99;195.99;216.22;216.22;216.22;229.55;229.55;229.55
15;191.69;191.69;191.69;214.71;214.71;214.71;225.48;225.48;225.48
16;189.45;189.45;189.45;213.1;213.1;213.1;220.22;220.22;220.22
17;186.29;186.29;186.29;211.17;211.17;211.17;218.12;218.12;218.12
18;183.52;183.52;183.52;207.18;207.18;207.18;212.16;212.16;212.16
19;180.66;180.66;180.66;204.76;204.76;204.76;209.31;209.31;209.31
20;178.4;178.4;178.4;203.39;203.39;203.39;208.61;208.61;208.61
21;175.07;175.07;175.07;198.35;198.35;198.35;200.7;200.7;200.7
22;172.85;172.85;172.85;196.41;196.41;196.41;196.29;196.29;196.29
23;170.53;170.53;170.53;193.13;193.13;193.13;194.74;194.74;194.74
24;168.18;168.18;168.18;192.03;192.03;192.03;192.79;192.79;192.79
25;164.65;164.65;164.65;190.9;190.9;190.9;188.44;188.44;188.44
26;162.56;162.56;162.56;189.33;189.33;189.33;186.94;186.94;186.94
27;160.56;160.56;160.56;187.96;187.96;187.96;186.58;186.58;186.58
28;157.69;157.69;157.69;186.97;186.97;186.97;185.47;185.47;185.47
29;155.64;155.64;155.64;184.4;184.4;184.4;184.03;184.03;184.03
30;153.69;153.69;153.69;183.63;183.63;183.63;181.74;181.74;181.74
31;151.86;151.86;151.86;181.9;181.9;181.9;180.09;180.09;180.09
32;150.06;150.06;150.06;178.61;178.61;178.61;179.13;179.13;179.13
33;148.19;148.19;148.19;177.68;177.68;177.68;178.47;178.47;178.47
34;146.27;146.27;146.27;176.51;176.51;176.51;178.07;178.07;178.07
35;144.12;144.12;144.12;174.2;174.2;174.2;177.83;177.83;177.83
36;142.56;142.56;142.56;168.2;168.2;168.2;177.49;177.49;177.49
37;141.1;141.1;141.1;167.55;167.55;167.55;177.28;177.28;177.28
38;139.56;139.56;139.56;166.41;166.41;166.41;176.82;176.82;176.82
39;138.46;138.46;138.46;165.59;165.59;165.59;173.93;173.93;173.93
40;136.98;136.98;136.98;165.01;165.01;165.01;171.75;171.75;171.75
41;135.7;135.7;135.7;164.14;164.14;164.14;170.01;170.01;170.01
42;134.42;134.42;134.42;162.52;162.52;162.52;166.71;166.71;166.71
43;133.11;133.11;133.11;161.52;161.52;161.52;164.94;164.94;164.94
44;131.81;131.81;131.81;159.42;159.42;159.42;164.26;164.26;164.26
45;130.51;130.51;130.51;158.92;158.92;158.92;163.38;163.38;163.38
46;129.33;129.33;129.33;158.04;158.04;158.04;161.99;161.99;161.99
47;127.64;127.64;127.64;157.48;157.48;157.48;160.52;160.52;160.52
48;126.1;126.1;126.1;152.15;152.15;152.15;159.43;159.43;159.43
49;124.63;124.63;124.63;150.07;150.07;150.07;157.98;157.98;157.98
50;123.45;123.45;123.45;148.8;148.8;148.8;157.1;157.1;157.1
51;122.37;122.37;122.37;148.37;148.37;148.37;155.44;155.44;155.44
52;121.32;121.32;121.32;147.69;147.69;147.69;154.78;154.78;154.78
53;120.83;120.83;120.83;147.29;147.29;147.29;152.54;152.54;152.54
54;120.23;120.23;120.23;146.95;146.95;146.95;151.77;151.77;151.77
55;119.38;119.38;119.38;146.4;146.4;146.4;149.85;149.85;149.85
56;118.42;118.42;118.42;145.97;145.97;145.97;147.49;147.49;147.49
57;117.67;117.67;117.67;144.95;144.95;144.95;147.14;147.14;147.14
58;116.49;116.49;116.49;144.41;144.41;144.41;146.61;146.61;146.61
59;115.56;115.56;115.56;144.07;144.07;144.07;146.19;146.19;146.19
60;114.71;114.71;114.71;143.18;143.18;143.18;146.15;146.15;146.15
61;113.92;113.92;113.92;141.73;141.73;141.73;145.83;145.83;145.83
62;112.92;112.92;112.92;140.74;140.74;140.74;145.69;145.69;145.69
63;112.29;112.29;112.29;138.13;138.13;138.13;144.62;144.62;144.62
64;111.5;111.5;111.5;137.78;137.78;137.78;142.2;142.2;142.2
65;110.36;110.36;110.36;137.5;137.5;137.5;141.11;141.11;141.11
66;109.52;109.52;109.52;137.02;137.02;137.02;140.72;140.72;140.72
67;108.99;108.99;108.99;135.51;135.51;135.51;139.92;139.92;139.92
68;108.03;108.03;108.03;135.13;135.13;135.13;139.31;139.31;139.31
69;107.25;107.25;107.25;134.41;134.41;134.41;138.79;138.79;138.79
70;106.34;106.34;106.34;134.16;134.16;134.16;138.07;138.07;138.07
71;105.26;105.26;105.26;133.75;133.75;133.75;137.52;137.52;137.52
72;104.42;104.42;104.42;133.19;133.19;133.19;136.64;136.64;136.64
73;103.21;103.21;103.21;132.58;132.58;132.58;136.14;136.14;136.14
74;102.57;102.57;102.57;132.32;132.32;132.32;135.09;135.09;135.09
75;101.91;101.91;101.91;131.87;131.87;131.87;134.76;134.76;134.76
76;101.15;101.15;101.15;128.94;128.94;128.94;133.91;133.91;133.91
77;100.48;100.48;100.48;126.42;126.42;126.42;133.29;133.29;133.29
78;100.24;100.24;100.24;125.4;125.4;125.4;133.27;133.27;133.27
79;99.79;99.79;99.79;124.78;124.78;124.78;132.94;132.94;132.94
80;98.86;98.86;98.86;124.54;124.54;124.54;131.24;131.24;131.24
81;98.22;98.22;98.22;124.15;124.15;124.15;131.01;131.01;131.01
82;97.64;97.64;97.64;123.93;123.93;123.93;130.68;130.68;130.68
83;97.1;97.1;97.1;123.63;123.63;123.63;130.63;130.63;130.63
84;96.47;96.47;96.47;122.61;122.61;122.61;129.85;129.85;129.85
85;95.97;95.97;95.97;122.17;122.17;122.17;129.79;129.79;129.79
86;95.24;95.24;95.24;121.98;121.98;121.98;129.41;129.41;129.41
87;94.57;94.57;94.57;121.45;121.45;121.45;128.87;128.87;128.87
88;94.03;94.03;94.03;121.24;121.24;121.24;128.58;128.58;128.58
89;93.55;93.55;93.55;120.87;120.87;120.87;126.2;126.2;126.2
90;92.87;92.87;92.87;120.65;120.65;120.65;126.0;126.0;126.0
91;92.38;92.38;92.38;120.15;120.15;120.15;125.51;125.51;125.51
92;91.85;91.85;91.85;118.76;118.76;118.76;125.0;125.0;125.0
93;91.27;91.27;91.27;118.5;118.5;118.5;124.58;124.58;124.58
94;90.85;90.85;90.85;118.32;118.32;118.32;123.87;123.87;123.87
95;90.35;90.35;90.35;117.5;117.5;117.5;123.75;123.75;123.75
96;89.67;89.67;89.67;117.04;117.04;117.04;122.53;122.53;122.53
97;89.23;89.23;89.23;116.83;116.83;116.83;122.46;122.46;122.46
