;derivative_mean;derivative_min;derivative_max;expVisits_mean;expVisits_min;expVisits_max;expVisits_sampling_mean;expVisits_sampling_min;expVisits_sampling_max;samples_mean;samples_min;samples_max;random_mean;random_min;random_max
0;275.59;275.59;275.59;275.59;275.59;275.59;275.59;275.59;275.59;275.59;275.59;275.59;275.59;275.59;275.59
1;264.83;264.83;264.83;265.385;265.2;265.57;271.565;268.64;274.49;273.975;273.92;274.03;274.485;274.48;274.49
2;255.62;255.62;255.62;256.17;255.98;256.36;269.485;266.99;271.98;264.39;264.34;264.44;273.85;273.43;274.27
3;246.55;244.28;248.82;246.81;244.57;249.05;267.615;266.9;268.33;260.77;260.75;260.79;273.47;273.14;273.8
4;238.965;236.5;241.43;240.24;238.0;242.48;263.56;262.92;264.2;260.745;260.73;260.76;272.845;272.52;273.17
5;232.245;229.72;234.77;234.925;232.94;236.91;260.49;258.12;262.86;260.67;260.66;260.68;272.065;271.77;272.36
6;226.35500000000002;223.85;228.86;229.635;227.18;232.09;257.985;254.63;261.34;256.825;256.53;257.12;266.305;261.0;271.61
7;221.04500000000002;218.57;223.52;225.595;223.37;227.82;255.675;251.19;260.16;256.58500000000004;256.3;256.87;265.725;260.73;270.72
8;215.175;213.6;216.75;221.99;219.63;224.35;246.075;242.48;249.67;254.82;254.68;254.96;262.625;259.42;265.83
9;211.45;209.13;213.77;219.115;216.57;221.66;243.865;239.38;248.35;250.675;250.45;250.9;262.45;259.26;265.64
