;derivative_mean;derivative_min;derivative_max;samples_mean;samples_min;samples_max
0;275.59;275.59;275.59;275.59;275.59;275.59
1;264.83;264.83;264.83;273.975;273.92;274.03
2;255.62;255.62;255.62;264.39;264.34;264.44
3;246.55;244.28;248.82;260.77;260.75;260.79
4;238.965;236.5;241.43;260.745;260.73;260.76
5;232.245;229.72;234.77;260.67;260.66;260.68
6;226.35500000000002;223.85;228.86;256.825;256.53;257.12
7;221.04500000000002;218.57;223.52;256.58500000000004;256.3;256.87
8;215.175;213.6;216.75;254.82;254.68;254.96
9;211.45;209.13;213.77;250.675;250.45;250.9
