;expVisits_sampling_mean;expVisits_sampling_min;expVisits_sampling_max
0;275.59;275.59;275.59
1;274.49;274.49;274.49
2;271.98;271.98;271.98
3;268.33;268.33;268.33
4;264.2;264.2;264.2
5;262.86;262.86;262.86
6;261.34;261.34;261.34
7;260.16;260.16;260.16
8;249.67;249.67;249.67
9;248.35;248.35;248.35
10;247.29;247.29;247.29
11;246.79;246.79;246.79
12;242.18;242.18;242.18
13;238.79;238.79;238.79
14;234.46;234.46;234.46
15;229.66;229.66;229.66
16;224.4;224.4;224.4
17;221.41;221.41;221.41
18;220.48;220.48;220.48
19;219.58;219.58;219.58
20;219.17;219.17;219.17
21;210.78;210.78;210.78
22;206.95;206.95;206.95
23;206.88;206.88;206.88
24;204.05;204.05;204.05
25;197.87;197.87;197.87
26;197.82;197.82;197.82
27;196.41;196.41;196.41
28;194.47;194.47;194.47
29;193.96;193.96;193.96
30;192.06;192.06;192.06
31;190.3;190.3;190.3
32;189.88;189.88;189.88
33;188.26;188.26;188.26
34;188.05;188.05;188.05
35;185.58;185.58;185.58
36;185.02;185.02;185.02
37;184.68;184.68;184.68
38;184.29;184.29;184.29
39;181.2;181.2;181.2
40;176.39;176.39;176.39
41;173.47;173.47;173.47
42;169.37;169.37;169.37
43;169.32;169.32;169.32
44;168.83;168.83;168.83
45;168.04;168.04;168.04
46;165.94;165.94;165.94
47;164.3;164.3;164.3
48;162.0;162.0;162.0
49;160.63;160.63;160.63
50;158.99;158.99;158.99
51;158.92;158.92;158.92
52;158.55;158.55;158.55
53;156.52;156.52;156.52
54;156.12;156.12;156.12
55;153.29;153.29;153.29
56;152.01;152.01;152.01
57;149.73;149.73;149.73
58;149.54;149.54;149.54
59;148.63;148.63;148.63
60;147.83;147.83;147.83
61;147.26;147.26;147.26
62;146.61;146.61;146.61
63;145.64;145.64;145.64
64;145.18;145.18;145.18
65;144.76;144.76;144.76
66;143.72;143.72;143.72
67;143.7;143.7;143.7
68;143.12;143.12;143.12
69;142.69;142.69;142.69
70;142.63;142.63;142.63
71;142.22;142.22;142.22
72;141.34;141.34;141.34
73;140.47;140.47;140.47
74;139.38;139.38;139.38
75;136.12;136.12;136.12
76;134.82;134.82;134.82
77;133.93;133.93;133.93
78;133.09;133.09;133.09
79;132.48;132.48;132.48
80;131.84;131.84;131.84
81;130.59;130.59;130.59
82;130.14;130.14;130.14
83;130.05;130.05;130.05
84;129.73;129.73;129.73
85;129.56;129.56;129.56
86;127.66;127.66;127.66
87;127.02;127.02;127.02
88;126.45;126.45;126.45
89;123.46;123.46;123.46
90;122.83;122.83;122.83
91;122.17;122.17;122.17
92;121.73;121.73;121.73
93;121.22;121.22;121.22
94;120.98;120.98;120.98
95;120.86;120.86;120.86
96;119.85;119.85;119.85
97;118.98;118.98;118.98
98;118.45;118.45;118.45
99;115.37;115.37;115.37
100;113.18;113.18;113.18
101;112.2;112.2;112.2
102;110.29;110.29;110.29
103;108.5;108.5;108.5
104;108.47;108.47;108.47
105;108.17;108.17;108.17
106;107.94;107.94;107.94
107;107.69;107.69;107.69
108;106.5;106.5;106.5
109;105.5;105.5;105.5
