;derivative_mean;derivative_min;derivative_max
0;275.59;275.59;275.59
1;264.83;264.83;264.83
2;255.62;255.62;255.62
3;248.82;248.82;248.82
4;241.43;241.43;241.43
5;234.77;234.77;234.77
6;228.86;228.86;228.86
7;223.52;223.52;223.52
8;216.75;216.75;216.75
9;213.77;213.77;213.77
10;209.34;209.34;209.34
11;205.91;205.91;205.91
12;202.26;202.26;202.26
13;198.61;198.61;198.61
14;195.99;195.99;195.99
15;191.69;191.69;191.69
16;189.45;189.45;189.45
17;186.29;186.29;186.29
18;183.52;183.52;183.52
19;180.66;180.66;180.66
20;178.4;178.4;178.4
21;175.07;175.07;175.07
22;172.85;172.85;172.85
23;170.53;170.53;170.53
24;168.18;168.18;168.18
25;164.65;164.65;164.65
26;162.56;162.56;162.56
27;160.56;160.56;160.56
28;157.69;157.69;157.69
29;155.64;155.64;155.64
30;153.69;153.69;153.69
31;151.86;151.86;151.86
32;150.06;150.06;150.06
33;148.19;148.19;148.19
34;146.27;146.27;146.27
35;144.12;144.12;144.12
36;142.56;142.56;142.56
37;141.1;141.1;141.1
38;139.56;139.56;139.56
39;138.46;138.46;138.46
40;136.98;136.98;136.98
41;135.7;135.7;135.7
42;134.42;134.42;134.42
43;133.11;133.11;133.11
44;131.81;131.81;131.81
45;130.51;130.51;130.51
46;129.33;129.33;129.33
47;127.64;127.64;127.64
48;126.1;126.1;126.1
49;124.63;124.63;124.63
50;123.45;123.45;123.45
51;122.37;122.37;122.37
52;121.32;121.32;121.32
53;120.83;120.83;120.83
54;120.23;120.23;120.23
55;119.38;119.38;119.38
56;118.42;118.42;118.42
57;117.67;117.67;117.67
58;116.49;116.49;116.49
59;115.56;115.56;115.56
60;114.71;114.71;114.71
61;113.92;113.92;113.92
62;112.92;112.92;112.92
63;112.29;112.29;112.29
64;111.5;111.5;111.5
65;110.36;110.36;110.36
66;109.52;109.52;109.52
67;108.99;108.99;108.99
68;108.03;108.03;108.03
69;107.25;107.25;107.25
70;106.34;106.34;106.34
71;105.26;105.26;105.26
72;104.42;104.42;104.42
73;103.21;103.21;103.21
74;102.57;102.57;102.57
75;101.91;101.91;101.91
76;101.15;101.15;101.15
77;100.48;100.48;100.48
78;100.24;100.24;100.24
79;99.79;99.79;99.79
80;98.86;98.86;98.86
81;98.22;98.22;98.22
82;97.64;97.64;97.64
83;97.1;97.1;97.1
84;96.47;96.47;96.47
85;95.97;95.97;95.97
86;95.24;95.24;95.24
87;94.57;94.57;94.57
88;94.03;94.03;94.03
89;93.55;93.55;93.55
90;92.87;92.87;92.87
91;92.38;92.38;92.38
92;91.85;91.85;91.85
93;91.27;91.27;91.27
94;90.85;90.85;90.85
95;90.35;90.35;90.35
96;89.67;89.67;89.67
97;89.23;89.23;89.23
98;88.48;88.48;88.48
99;88.03;88.03;88.03
100;87.34;87.34;87.34
101;86.93;86.93;86.93
102;86.34;86.34;86.34
103;85.91;85.91;85.91
104;85.4;85.4;85.4
105;84.98;84.98;84.98
106;84.54;84.54;84.54
107;84.11;84.11;84.11
108;83.78;83.78;83.78
109;83.37;83.37;83.37
110;82.75;82.75;82.75
111;82.29;82.29;82.29
112;81.81;81.81;81.81
113;81.4;81.4;81.4
114;81.05;81.05;81.05
115;80.66;80.66;80.66
116;80.29;80.29;80.29
117;80.09;80.09;80.09
118;79.69;79.69;79.69
119;79.36;79.36;79.36
120;79.02;79.02;79.02
121;78.71;78.71;78.71
122;78.4;78.4;78.4
123;77.94;77.94;77.94
124;77.58;77.58;77.58
125;77.32;77.32;77.32
126;77.03;77.03;77.03
127;76.96;76.96;76.96
128;76.63;76.63;76.63
129;76.33;76.33;76.33
130;75.98;75.98;75.98
131;75.69;75.69;75.69
132;75.39;75.39;75.39
133;75.06;75.06;75.06
134;74.76;74.76;74.76
135;74.45;74.45;74.45
136;74.14;74.14;74.14
137;73.83;73.83;73.83
138;73.54;73.54;73.54
139;73.31;73.31;73.31
140;73.06;73.06;73.06
141;72.74;72.74;72.74
142;72.45;72.45;72.45
143;72.18;72.18;72.18
144;71.82;71.82;71.82
145;71.58;71.58;71.58
146;71.31;71.31;71.31
147;71.06;71.06;71.06
148;70.77;70.77;70.77
149;70.47;70.47;70.47
150;70.44;70.44;70.44
151;70.18;70.18;70.18
152;69.94;69.94;69.94
153;69.69;69.69;69.69
154;69.46;69.46;69.46
155;69.35;69.35;69.35
156;69.15;69.15;69.15
157;68.87;68.87;68.87
158;68.6;68.6;68.6
159;68.34;68.34;68.34
160;68.17;68.17;68.17
161;67.93;67.93;67.93
162;67.72;67.72;67.72
163;67.5;67.5;67.5
164;67.34;67.34;67.34
165;67.15;67.15;67.15
166;66.86;66.86;66.86
167;66.86;66.86;66.86
168;66.64;66.64;66.64
169;66.38;66.38;66.38
170;66.13;66.13;66.13
171;65.9;65.9;65.9
172;65.74;65.74;65.74
173;65.45;65.45;65.45
174;65.04;65.04;65.04
175;64.87;64.87;64.87
176;64.72;64.72;64.72
177;64.44;64.44;64.44
178;64.14;64.14;64.14
179;63.93;63.93;63.93
180;63.72;63.72;63.72
181;63.5;63.5;63.5
182;63.27;63.27;63.27
183;63.05;63.05;63.05
184;62.92;62.92;62.92
185;62.75;62.75;62.75
186;62.6;62.6;62.6
187;62.39;62.39;62.39
188;62.21;62.21;62.21
189;62.04;62.04;62.04
190;61.85;61.85;61.85
191;61.7;61.7;61.7
192;61.4;61.4;61.4
193;61.23;61.23;61.23
194;61.11;61.11;61.11
195;60.9;60.9;60.9
196;60.74;60.74;60.74
197;60.5;60.5;60.5
198;60.3;60.3;60.3
199;60.05;60.05;60.05
200;59.89;59.89;59.89
201;59.7;59.7;59.7
202;59.52;59.52;59.52
203;59.37;59.37;59.37
204;59.22;59.22;59.22
205;59.05;59.05;59.05
206;58.77;58.77;58.77
207;58.7;58.7;58.7
208;58.55;58.55;58.55
209;58.35;58.35;58.35
210;58.14;58.14;58.14
211;57.93;57.93;57.93
212;57.77;57.77;57.77
213;57.66;57.66;57.66
214;57.45;57.45;57.45
215;57.31;57.31;57.31
216;57.16;57.16;57.16
217;57.01;57.01;57.01
218;56.83;56.83;56.83
219;56.66;56.66;56.66
220;56.49;56.49;56.49
221;56.38;56.38;56.38
222;56.14;56.14;56.14
223;55.94;55.94;55.94
224;55.77;55.77;55.77
225;55.7;55.7;55.7
226;55.54;55.54;55.54
227;55.42;55.42;55.42
228;55.27;55.27;55.27
229;55.07;55.07;55.07
230;54.95;54.95;54.95
231;54.71;54.71;54.71
232;54.61;54.61;54.61
233;54.5;54.5;54.5
234;54.53;54.53;54.53
235;54.38;54.38;54.38
236;54.26;54.26;54.26
237;54.15;54.15;54.15
238;54.02;54.02;54.02
239;53.84;53.84;53.84
240;53.7;53.7;53.7
241;53.61;53.61;53.61
242;53.55;53.55;53.55
243;53.4;53.4;53.4
244;53.31;53.31;53.31
245;53.2;53.2;53.2
246;53.07;53.07;53.07
247;52.95;52.95;52.95
248;52.87;52.87;52.87
249;52.75;52.75;52.75
250;52.62;52.62;52.62
251;52.5;52.5;52.5
252;52.43;52.43;52.43
253;52.32;52.32;52.32
254;52.22;52.22;52.22
