;derivative_mean;derivative_min;derivative_max;expVisits_sampling_mean;expVisits_sampling_min;expVisits_sampling_max
0;0.441927073;0.441927073;0.441927073;0.441927073;0.441927073;0.441927073
1;0.440496285;0.440496285;0.440496285;0.441719767;0.441719767;0.441719767
2;0.43930557;0.43930557;0.43930557;0.441567475;0.441567475;0.441567475
3;0.437904049;0.437904049;0.437904049;0.441355937;0.441355937;0.441355937
4;0.436351827;0.436351827;0.436351827;0.442020693;0.442020693;0.442020693
5;0.4356337;0.4356337;0.4356337;0.441990088;0.441990088;0.441990088
6;0.435426688;0.435426688;0.435426688;0.441964819;0.441964819;0.441964819
7;0.435413495;0.435413495;0.435413495;0.441824821;0.441824821;0.441824821
8;0.433076795;0.433076795;0.433076795;0.441892897;0.441892897;0.441892897
9;0.434111686;0.434111686;0.434111686;0.44119461;0.44119461;0.44119461
10;0.433442369;0.433442369;0.433442369;0.440976072;0.440976072;0.440976072
11;0.434079811;0.434079811;0.434079811;0.440990517;0.440990517;0.440990517
12;0.433590616;0.433590616;0.433590616;0.440304163;0.440304163;0.440304163
13;0.432466249;0.432466249;0.432466249;0.438888597;0.438888597;0.438888597
14;0.430710141;0.430710141;0.430710141;0.43888137;0.43888137;0.43888137
15;0.431774187;0.431774187;0.431774187;0.438196583;0.438196583;0.438196583
16;0.430251081;0.430251081;0.430251081;0.43771772;0.43771772;0.43771772
17;0.427866641;0.427866641;0.427866641;0.437363162;0.437363162;0.437363162
18;0.428210836;0.428210836;0.428210836;0.437054104;0.437054104;0.437054104
19;0.428285042;0.428285042;0.428285042;0.436963502;0.436963502;0.436963502
20;0.427256367;0.427256367;0.427256367;0.436959618;0.436959618;0.436959618
21;0.425701406;0.425701406;0.425701406;0.436855408;0.436855408;0.436855408
22;0.424654682;0.424654682;0.424654682;0.4368476;0.4368476;0.4368476
23;0.424446558;0.424446558;0.424446558;0.436708423;0.436708423;0.436708423
24;0.423337902;0.423337902;0.423337902;0.436452417;0.436452417;0.436452417
25;0.421605664;0.421605664;0.421605664;0.436251346;0.436251346;0.436251346
26;0.421408021;0.421408021;0.421408021;0.436167463;0.436167463;0.436167463
27;0.420133378;0.420133378;0.420133378;0.436061496;0.436061496;0.436061496
28;0.42100783;0.42100783;0.42100783;0.435873402;0.435873402;0.435873402
29;0.420898374;0.420898374;0.420898374;0.435819124;0.435819124;0.435819124
30;0.420688688;0.420688688;0.420688688;0.435759541;0.435759541;0.435759541
31;0.420822139;0.420822139;0.420822139;0.435837103;0.435837103;0.435837103
32;0.420224945;0.420224945;0.420224945;0.435345109;0.435345109;0.435345109
33;0.419792226;0.419792226;0.419792226;0.435323727;0.435323727;0.435323727
34;0.41945711;0.41945711;0.41945711;0.435286047;0.435286047;0.435286047
35;0.419647945;0.419647945;0.419647945;0.435309878;0.435309878;0.435309878
36;0.419278494;0.419278494;0.419278494;0.435258942;0.435258942;0.435258942
37;0.418790497;0.418790497;0.418790497;0.435258079;0.435258079;0.435258079
38;0.41856988;0.41856988;0.41856988;0.435215836;0.435215836;0.435215836
39;0.418975507;0.418975507;0.418975507;0.435300993;0.435300993;0.435300993
40;0.418694169;0.418694169;0.418694169;0.435104827;0.435104827;0.435104827
41;0.418378632;0.418378632;0.418378632;0.43499114;0.43499114;0.43499114
42;0.418539848;0.418539848;0.418539848;0.434650273;0.434650273;0.434650273
43;0.417623728;0.417623728;0.417623728;0.434586566;0.434586566;0.434586566
44;0.416658061;0.416658061;0.416658061;0.434545612;0.434545612;0.434545612
45;0.41647081;0.41647081;0.41647081;0.435114613;0.435114613;0.435114613
46;0.416493251;0.416493251;0.416493251;0.43505;0.43505;0.43505
47;0.4156567;0.4156567;0.4156567;0.435025578;0.435025578;0.435025578
48;0.416072333;0.416072333;0.416072333;0.435056216;0.435056216;0.435056216
49;0.415385488;0.415385488;0.415385488;0.433368569;0.433368569;0.433368569
50;0.415271907;0.415271907;0.415271907;0.433445411;0.433445411;0.433445411
51;0.415010408;0.415010408;0.415010408;0.433438834;0.433438834;0.433438834
52;0.414703968;0.414703968;0.414703968;0.433471492;0.433471492;0.433471492
53;0.415450148;0.415450148;0.415450148;0.433490728;0.433490728;0.433490728
54;0.416329828;0.416329828;0.416329828;0.433417713;0.433417713;0.433417713
55;0.415771739;0.415771739;0.415771739;0.433309521;0.433309521;0.433309521
56;0.415773615;0.415773615;0.415773615;0.432891543;0.432891543;0.432891543
57;0.415508868;0.415508868;0.415508868;0.43287543;0.43287543;0.43287543
58;0.414977089;0.414977089;0.414977089;0.432852587;0.432852587;0.432852587
59;0.414260204;0.414260204;0.414260204;0.43285114;0.43285114;0.43285114
60;0.414233631;0.414233631;0.414233631;0.432853021;0.432853021;0.432853021
61;0.414130013;0.414130013;0.414130013;0.432840802;0.432840802;0.432840802
62;0.413152217;0.413152217;0.413152217;0.432823905;0.432823905;0.432823905
63;0.412675372;0.412675372;0.412675372;0.432563976;0.432563976;0.432563976
64;0.41184167;0.41184167;0.41184167;0.432519966;0.432519966;0.432519966
65;0.411903349;0.411903349;0.411903349;0.432480497;0.432480497;0.432480497
66;0.411731086;0.411731086;0.411731086;0.432469346;0.432469346;0.432469346
67;0.41213847;0.41213847;0.41213847;0.43240304;0.43240304;0.43240304
68;0.412521022;0.412521022;0.412521022;0.432051514;0.432051514;0.432051514
69;0.411959794;0.411959794;0.411959794;0.431801822;0.431801822;0.431801822
70;0.411106217;0.411106217;0.411106217;0.431785203;0.431785203;0.431785203
71;0.410293491;0.410293491;0.410293491;0.431773119;0.431773119;0.431773119
72;0.409875307;0.409875307;0.409875307;0.431361715;0.431361715;0.431361715
73;0.410321972;0.410321972;0.410321972;0.431374674;0.431374674;0.431374674
74;0.410062981;0.410062981;0.410062981;0.432296784;0.432296784;0.432296784
75;0.409594442;0.409594442;0.409594442;0.432306715;0.432306715;0.432306715
76;0.408593356;0.408593356;0.408593356;0.432060052;0.432060052;0.432060052
77;0.40870726;0.40870726;0.40870726;0.431948359;0.431948359;0.431948359
78;0.408475515;0.408475515;0.408475515;0.431963614;0.431963614;0.431963614
79;0.407944488;0.407944488;0.407944488;0.431926502;0.431926502;0.431926502
80;0.406940143;0.406940143;0.406940143;0.430944475;0.430944475;0.430944475
81;0.40659106;0.40659106;0.40659106;0.430936396;0.430936396;0.430936396
82;0.406431747;0.406431747;0.406431747;0.430933568;0.430933568;0.430933568
83;0.406540624;0.406540624;0.406540624;0.430837694;0.430837694;0.430837694
84;0.406649491;0.406649491;0.406649491;0.43072728;0.43072728;0.43072728
85;0.406207693;0.406207693;0.406207693;0.430728831;0.430728831;0.430728831
86;0.405749341;0.405749341;0.405749341;0.4307078;0.4307078;0.4307078
87;0.40548405;0.40548405;0.40548405;0.430349129;0.430349129;0.430349129
88;0.404798776;0.404798776;0.404798776;0.430258773;0.430258773;0.430258773
89;0.404595318;0.404595318;0.404595318;0.430278655;0.430278655;0.430278655
90;0.405108528;0.405108528;0.405108528;0.430255343;0.430255343;0.430255343
91;0.404671304;0.404671304;0.404671304;0.430132667;0.430132667;0.430132667
92;0.40452549;0.40452549;0.40452549;0.429729274;0.429729274;0.429729274
93;0.404084435;0.404084435;0.404084435;0.42972881;0.42972881;0.42972881
94;0.403764109;0.403764109;0.403764109;0.429672201;0.429672201;0.429672201
95;0.403870743;0.403870743;0.403870743;0.429671896;0.429671896;0.429671896
96;0.403181666;0.403181666;0.403181666;0.429525074;0.429525074;0.429525074
97;0.403176125;0.403176125;0.403176125;0.428999606;0.428999606;0.428999606
98;0.402153078;0.402153078;0.402153078;0.428991803;0.428991803;0.428991803
99;0.401766151;0.401766151;0.401766151;0.428952306;0.428952306;0.428952306
100;0.402418012;0.402418012;0.402418012;0.428857752;0.428857752;0.428857752
101;0.402068112;0.402068112;0.402068112;0.428797509;0.428797509;0.428797509
102;0.402123532;0.402123532;0.402123532;0.428693317;0.428693317;0.428693317
103;0.401977528;0.401977528;0.401977528;0.42876446;0.42876446;0.42876446
104;0.400929913;0.400929913;0.400929913;0.42876521;0.42876521;0.42876521
105;0.400273955;0.400273955;0.400273955;0.428691586;0.428691586;0.428691586
106;0.400220687;0.400220687;0.400220687;0.428606999;0.428606999;0.428606999
107;0.400074595;0.400074595;0.400074595;0.428606333;0.428606333;0.428606333
108;0.399721358;0.399721358;0.399721358;0.428423463;0.428423463;0.428423463
109;0.399709044;0.399709044;0.399709044;0.4283543;0.4283543;0.4283543
110;0.399408686;0.399408686;0.399408686;0.42876781;0.42876781;0.42876781
111;0.398996543;0.398996543;0.398996543;0.428728329;0.428728329;0.428728329
112;0.398708217;0.398708217;0.398708217;0.428372183;0.428372183;0.428372183
113;0.398696393;0.398696393;0.398696393;0.428285648;0.428285648;0.428285648
114;0.398678809;0.398678809;0.398678809;0.428255063;0.428255063;0.428255063
115;0.398275643;0.398275643;0.398275643;0.428243939;0.428243939;0.428243939
116;0.397975689;0.397975689;0.397975689;0.428223932;0.428223932;0.428223932
117;0.398179364;0.398179364;0.398179364;0.428218772;0.428218772;0.428218772
