;derivative_mean;derivative_min;derivative_max;expVisits_sampling_mean;expVisits_sampling_min;expVisits_sampling_max;expVisits_mean;expVisits_min;expVisits_max;samples_mean;samples_min;samples_max;random_mean;random_min;random_max
0;275.592637792;275.592637792;275.592637792;275.592637792;275.592637792;275.592637792;275.592637792;275.592637792;275.592637792;275.592637792;275.592637792;275.592637792;275.592637792;275.592637792;275.592637792
1;264.828548536;264.828548536;264.828548536;274.491141782;274.491141782;274.491141782;265.566517385;265.566517385;265.566517385;274.031579554;274.031579554;274.031579554;274.479556615;274.479556615;274.479556615
2;255.621122215;255.621122215;255.621122215;271.982698739;271.982698739;271.982698739;255.977573258;255.977573258;255.977573258;264.44133387;264.44133387;264.44133387;273.430354918;273.430354918;273.430354918
3;248.820618284;248.820618284;248.820618284;268.329830993;268.329830993;268.329830993;249.04529959;249.04529959;249.04529959;260.747373687;260.747373687;260.747373687;273.144634321;273.144634321;273.144634321
4;241.427538849;241.427538849;241.427538849;264.199704185;264.199704185;264.199704185;242.481600564;242.481600564;242.481600564;260.725394045;260.725394045;260.725394045;272.519043018;272.519043018;272.519043018
5;234.76775725;234.76775725;234.76775725;262.856020066;262.856020066;262.856020066;236.911003986;236.911003986;236.911003986;260.660038241;260.660038241;260.660038241;272.357129626;272.357129626;272.357129626
6;228.860450873;228.860450873;228.860450873;261.342189952;261.342189952;261.342189952;232.094841305;232.094841305;232.094841305;256.529597894;256.529597894;256.529597894;260.99669455;260.99669455;260.99669455
7;223.518093155;223.518093155;223.518093155;260.160081795;260.160081795;260.160081795;227.822732712;227.822732712;227.822732712;256.295101792;256.295101792;256.295101792;260.728244266;260.728244266;260.728244266
8;216.753261603;216.753261603;216.753261603;249.673245642;249.673245642;249.673245642;224.345564404;224.345564404;224.345564404;254.959983544;254.959983544;254.959983544;259.419365296;259.419365296;259.419365296
9;213.772116873;213.772116873;213.772116873;248.354509804;248.354509804;248.354509804;221.660036942;221.660036942;221.660036942;250.447482552;250.447482552;250.447482552;259.258832994;259.258832994;259.258832994
