;0
0;275.592637792
1;274.479556615
2;273.430354918
3;273.144634321
4;272.519043018
5;272.357129626
6;260.99669455
7;260.728244266
8;259.419365296
9;259.258832994
10;257.857856137
11;257.605423658
12;255.714659332
13;255.486555298
14;255.096280686
15;254.877341226
16;247.189414312
17;245.30384345
18;240.464372811
19;239.942142372
20;239.909555955
21;238.496978788
22;234.740169104
23;234.744461096
24;234.634585962
25;226.584120907
26;226.489596456
27;226.390272179
28;225.421295476
29;224.914662067
30;224.848989241
31;224.552733464
32;224.164071502
33;224.169943542
34;222.412927686
35;219.649770303
36;218.971491346
37;217.802841
38;216.589961829
39;216.521876972
40;216.504140784
41;215.931038978
42;214.959549623
43;214.961274651
44;214.935964898
45;214.221320476
46;210.338409585
47;207.646358642
48;207.492716082
49;207.343278111
50;206.849759597
51;206.840353087
52;206.472773518
53;201.721479325
54;201.564232952
55;201.41414114
56;200.883702704
57;200.860866005
58;199.961335545
59;199.845518449
60;197.145180112
61;196.591251448
62;196.08495048
63;195.624180349
64;194.836454553
65;193.624908732
66;193.628582876
67;193.565677963
68;193.507011565
69;193.22611033
70;192.474175841
71;191.833949533
72;191.253724168
73;190.278145934
74;189.25465925
75;188.844830429
76;188.308017943
77;184.84217916
78;183.957828504
79;179.145975185
80;178.40364986
81;178.018150201
82;177.998828846
83;177.230086956
84;176.54351647
85;174.199011191
86;171.312586978
87;170.862072293
88;169.181627031
89;167.715842276
90;167.718296728
91;165.888355073
92;165.853215737
93;165.831446309
94;165.823204581
95;165.822925296
96;163.703088849
97;163.190399879
98;162.908723434
99;162.744989744
