;0
0;0.441927073
1;0.44142012
2;0.440923403
3;0.440646376
4;0.440422851
5;0.44031874
6;0.440152902
7;0.440076668
8;0.439760463
9;0.439425847
10;0.439229002
11;0.439043661
12;0.438982939
13;0.43892706
14;0.438748945
15;0.438882376
16;0.438997385
17;0.439177283
18;0.438849487
19;0.438742264
20;0.438607086
21;0.437443126
22;0.437305057
23;0.437286017
24;0.437106789
25;0.437152535
26;0.436701081
27;0.43674111
28;0.436137503
29;0.436087878
30;0.436068099
31;0.435998051
32;0.435927369
33;0.43576703
34;0.435428058
35;0.435536866
36;0.435389058
37;0.435345271
38;0.435303855
39;0.435286228
40;0.435224652
41;0.435157283
42;0.435032475
43;0.434822582
44;0.434872497
45;0.434814485
46;0.434759387
47;0.434723168
48;0.434606247
49;0.434666045
50;0.434653402
51;0.434410499
52;0.43439814
53;0.434273287
54;0.434168273
55;0.434138535
56;0.434166894
57;0.434139793
58;0.434062617
59;0.434035411
60;0.433694673
61;0.433720636
62;0.433761834
63;0.433718724
64;0.43369375
65;0.43362166
66;0.433612582
67;0.433579447
68;0.433730007
69;0.433673226
70;0.433712227
71;0.433627436
72;0.433587292
73;0.433555209
74;0.43353319
75;0.433442299
76;0.43349491
77;0.4335018
78;0.433567174
79;0.433573593
80;0.433267527
81;0.433273337
82;0.43323635
83;0.43326873
84;0.433233761
85;0.433188639
86;0.433193793
87;0.433083168
88;0.433113423
89;0.43301842
90;0.432960294
91;0.432935503
92;0.432897806
93;0.432914978
94;0.432866947
95;0.432871317
96;0.43288727
97;0.43280313
98;0.432852832
99;0.432856459
