;0
0;0.441927073
1;0.44142012
2;0.44131201
3;0.439814553
4;0.439758447
5;0.439744353
6;0.43973238
7;0.439695978
8;0.439780046
9;0.439960514
10;0.439934148
11;0.43987425
12;0.439178384
13;0.439079055
14;0.438808216
15;0.438957534
16;0.439096388
17;0.439183808
18;0.438992452
19;0.438977823
20;0.438944475
21;0.43865869
22;0.43853069
23;0.43839796
24;0.438323967
25;0.438378051
26;0.438354214
27;0.438316797
28;0.438319817
29;0.43826329
30;0.438261236
31;0.438232358
32;0.438204697
33;0.438032601
34;0.43798271
35;0.437471514
36;0.43740661
37;0.437361209
38;0.437350763
39;0.437355404
40;0.437333754
41;0.436967804
42;0.436904464
43;0.436901508
44;0.436823428
45;0.436833556
46;0.436778194
47;0.43675988
48;0.436753537
49;0.43684515
50;0.436843117
51;0.436829704
52;0.436827752
53;0.436898278
54;0.436733056
55;0.435749964
56;0.435808593
57;0.435704338
58;0.435675705
59;0.435713479
60;0.435670807
61;0.43569999
62;0.435714568
63;0.435685843
64;0.435680524
65;0.435599939
66;0.435550339
67;0.435023847
68;0.435036412
69;0.434147227
70;0.434158061
71;0.434017876
72;0.434001823
73;0.433981729
74;0.433979634
75;0.433973375
76;0.434019285
77;0.434023734
78;0.434039915
79;0.43404694
80;0.434044986
81;0.434014926
82;0.433696499
83;0.431820238
84;0.431787007
85;0.431113814
86;0.431108847
87;0.431103807
88;0.431015152
89;0.431011124
90;0.430923328
91;0.43075525
92;0.430755348
93;0.430678593
94;0.430675264
95;0.430613802
96;0.430606653
97;0.430492292
98;0.430268559
99;0.430198955
