,instance,Type,Formula,Engine,States,Transitions,Parameters,Solution,Model parse [s],Model instantiate [s],Model verify [s],Num. derivatives,Differentiate one [s],Differentiate explicitly [s],LP (define matrices) [s],LP (solve) [s],Max. derivatives,Argmax. derivatives,Max. validation,Difference %,formula,engine,states,transitions,parameters,solution,parse [s],verify [s],deriv. build LP [s],deriv. solve LP [s],LP max. partial,LP max. param,Val. max partial
5,"grid(10,10)",pMC,"Rmin=? [F ""goal""]",spsolve,199,595,10,1.869,0.029459,0.016288,0.000832,1,0.0006900000000000001,0.007,0.050606,0.007,5.61e-01,v3,5.61e-01,-0.001,,,,,,,,,,,,,
24,"grid(10,10)",pMC,"Rmin=? [F ""goal""]",spsolve,199,595,10,1.869,0.028902999999999998,0.015835,0.000798,1,0.001344,0.013,0.049923999999999996,0.058,5.61e-01,v3,5.61e-01,-0.001,,,,,,,,,,,,,
33,"grid(10,10)",pMC,"Rmin=? [F ""goal""]",spsolve,199,595,10,1.869,0.029210000000000003,0.015660999999999998,0.000797,1,0.000953,0.010,0.049013,0.026,5.61e-01,v3,5.61e-01,-0.001,,,,,,,,,,,,,
36,"grid(10,10)",pMC,"Rmin=? [F ""goal""]",spsolve,199,595,10,1.869,0.028939,0.015707,0.0012439999999999999,1,0.0011300000000000001,0.011,0.064816,0.011,5.61e-01,v3,5.61e-01,-0.001,,,,,,,,,,,,,
31,"grid(10,10)",pMC,"Rmin=? [F ""goal""]",spsolve,199,911,10,7.788,0.032447,0.020222999999999998,0.000696,1,0.001111,0.011,0.067934,0.039,1.34e+00,v3,1.34e+00,-0.001,,,,,,,,,,,,,
70,"grid(10,10)",pMC,"Rmin=? [F ""goal""]",spsolve,199,911,10,7.788,0.032937,0.020716,0.0011409999999999999,1,0.0009989999999999999,0.010,0.089166,0.028,1.34e+00,v3,1.34e+00,-0.001,,,,,,,,,,,,,
77,"grid(10,10)",pMC,"Rmin=? [F ""goal""]",spsolve,199,911,10,7.788,0.032684,0.020395999999999997,0.000722,1,0.001073,0.011,0.067193,0.036,1.34e+00,v3,1.34e+00,-0.001,,,,,,,,,,,,,
81,"grid(10,10)",pMC,"Rmin=? [F ""goal""]",spsolve,199,911,10,7.788,0.032257,0.019795999999999998,0.0007109999999999999,1,0.000721,0.007,0.066708,0.029,1.34e+00,v3,1.34e+00,-0.001,,,,,,,,,,,,,
1,"grid(50,50)",pMC,"Rmin=? [F ""goal""]",spsolve,4999,14995,50,5.007,0.5854539999999999,0.381355,0.016704999999999998,1,0.014495,0.725,1.2294019999999999,0.353,1.44e+00,v23,1.44e+00,-0.000,,,,,,,,,,,,,
39,"grid(50,50)",pMC,"Rmin=? [F ""goal""]",spsolve,4999,14995,50,5.007,0.554034,0.38761599999999996,0.016611,1,0.014504,0.725,1.233436,0.354,1.44e+00,v23,1.44e+00,-0.000,,,,,,,,,,,,,
