,instance,Type,Formula,Engine,States,Transitions,Parameters,Solution,Model parse [s],Model instantiate [s],Model verify [s],Num. derivatives,Differentiate one [s],Differentiate explicitly [s],LP (define matrices) [s],LP (solve) [s],Max. derivatives,Argmax. derivatives,Max. validation,Difference %
12,"grid(10,10,double)",pMC,"Rmin=? [F ""goal""]",spsolve,199,595,10,1.882,0.029137,0.01564,0.000841,1,0.001315,0.013,0.049157,0.037,5.64e-01,v3,5.64e-01,-0.001
0,"grid(50,50,double)",pMC,"Rmin=? [F ""goal""]",spsolve,4999,14995,50,5.037,0.548805,0.380586,0.016404,1,0.014497999999999999,0.725,1.21857,0.364,1.44e+00,v23,1.44e+00,-0.000
11,"grid(50,100,double)",pMC,"Rmin=? [F ""goal""]",spsolve,4999,14995,100,5.015,0.5477000000000001,0.38192499999999996,0.016614999999999998,1,0.014721999999999999,1.472,1.211074,0.370,1.26e+00,v23,1.26e+00,-0.001
16,"grid(50,1000,double)",pMC,"Rmin=? [F ""goal""]",spsolve,4999,14995,1000,4.950,0.60128,0.387466,0.016429,1,0.014496,13.351,1.226889,0.325,1.22e+00,v423,1.22e+00,-0.000
14,"grid(100,100,double)",pMC,"Rmin=? [F ""goal""]",spsolve,19999,59995,100,2.018,2.169687,1.532499,0.08845499999999999,1,0.082371,8.237,4.9097349999999995,2.897,5.10e-01,v94,5.10e-01,-0.001
13,"grid(100,1000,double)",pMC,"Rmin=? [F ""goal""]",spsolve,19999,59995,1000,2.025,2.259262,1.54048,0.086075,1,0.079617,79.617,4.933941,4.586,5.00e-01,v908,5.00e-01,-0.000
6,"grid(200,100,double)",pMC,"Rmin=? [F ""goal""]",spsolve,79999,239995,100,8.028,8.61916,6.098195,0.558589,1,0.55784,55.784,19.677668,31.679,1.97e+00,v27,1.97e+00,-0.001
15,"grid(200,1000,double)",pMC,"Rmin=? [F ""goal""]",spsolve,79999,239995,1000,7.961,8.850681999999999,6.091103,0.5771879999999999,1,0.5759449999999999,575.945,19.737268,39.293,2.03e+00,v843,2.03e+00,-0.000
17,"grid(200,10000,double)",pMC,"Rmin=? [F ""goal""]",spsolve,79999,239995,10000,7.872,17.85489,6.253541,0.569936,1,0.568699,"5,590.881",19.892751,105.371,1.97e+00,v8310,1.97e+00,-0.000
2,"grid(400,100,double)",pMC,"Rmin=? [F ""goal""]",spsolve,319999,959995,100,3.183,34.495195,24.415461,4.526149,1,4.526823,452.682,80.047403,478.899,8.30e-01,v36,8.30e-01,-0.001
3,"grid(400,1000,double)",pMC,"Rmin=? [F ""goal""]",spsolve,319999,959995,1000,3.217,34.785554,24.429995,4.600273,1,4.582159,"4,582.159",78.830926,561.048,8.48e-01,v809,8.47e-01,-0.001
8,"grid(400,10000,double)",pMC,"Rmin=? [F ""goal""]",spsolve,319999,959995,10000,3.293,45.525727,25.042161,4.475894,1,4.469689,"44,696.888",79.723812,777.949,8.92e-01,v8341,8.91e-01,-0.001
5,"grid(10,10,double)",prMC,"Rmin=? [F ""goal""]",spsolve,199,595,10,115.964,0.0,0.07963,0.907899,1,0.001175,0.012,0.012126,0.007,6.56e-03,v3,6.56e-03,0.000
7,"grid(50,50,double)",prMC,"Rmin=? [F ""goal""]",spsolve,4999,14995,50,"1,070.427",0.0,2.197479,22.6795,1,0.026328999999999998,1.316,0.271314,0.548,4.59e-02,v26,4.59e-02,0.000
4,"grid(50,100,double)",prMC,"Rmin=? [F ""goal""]",spsolve,4999,14995,100,"1,101.736",0.0,2.362405,23.017588,1,0.026126999999999997,2.613,0.27933,0.567,2.63e-02,v7,2.63e-02,0.000
1,"grid(50,1000,double)",prMC,"Rmin=? [F ""goal""]",spsolve,4999,14995,1000,"1,083.381",0.0,5.487983,22.75077,1,0.026174,24.107,0.28259799999999996,0.591,2.22e-02,v460,2.22e-02,0.000
9,"grid(100,100,double)",prMC,"Rmin=? [F ""goal""]",spsolve,19999,59995,100,"2,117.661",0.0,9.678508,95.857433,1,0.154601,15.460,1.116584,3.324,8.21e-02,v16,8.21e-02,0.000
10,"grid(100,1000,double)",prMC,"Rmin=? [F ""goal""]",spsolve,19999,59995,1000,"2,246.791",0.0,23.278762,96.666944,1,0.14695000000000003,146.950,1.143373,4.798,5.30e-02,v637,5.30e-02,0.000
