,instance,Type,Formula,Engine,States,Transitions,Parameters,Solution,Model parse [s],Model instantiate [s],Model verify [s],Num. derivatives,Differentiate one [s],Differentiate explicitly [s],LP (define matrices) [s],LP (solve) [s],Max. derivatives,Argmax. derivatives
8,"grid(10,10,double)",pMC,"Rmin=? [F ""goal""]",spsolve,199,595,10,1.882,0.029120000000000004,0.015757999999999998,0.001,10,0.001005,0.01,0.048898,0.042189,"[0.075153, 0.033824, 0.5639259999999999, -0.06831899999999999, -0.11637199999999999, 0.365014, -0.501331, -0.083646, -0.120749, -0.37548499999999996]","['v5', 'v0', 'v3', 'v7', 'v9', 'v2', 'v4', 'v6', 'v8', 'v1']"
9,"grid(50,50,double)",pMC,"Rmin=? [F ""goal""]",spsolve,4999,14995,50,5.037,0.546736,0.375232,0.017,10,0.014639,0.732,1.208668,0.38989399999999996,"[0.372631, 0.224265, 0.110915, 0.415238, 1.441986, 0.520722, 0.139787, 0.198822, 0.35242, 1.323463]","['v9', 'v13', 'v33', 'v47', 'v23', 'v31', 'v29', 'v32', 'v10', 'v48']"
5,"grid(50,100,double)",pMC,"Rmin=? [F ""goal""]",spsolve,4999,14995,100,5.015,0.552253,0.38739799999999996,0.017,10,0.014596999999999999,1.46,1.243393,0.380559,"[0.257307, 1.148168, 0.574713, 1.258489, 0.191015, 0.09221599999999999, 0.07819899999999999, 0.571757, 0.13869099999999998, 0.197533]","['v32', 'v14', 'v5', 'v23', 'v77', 'v49', 'v89', 'v74', 'v58', 'v78']"
17,"grid(50,1000,double)",pMC,"Rmin=? [F ""goal""]",spsolve,4999,14995,1000,4.950,0.5975579999999999,0.390524,0.017,10,0.014570999999999999,13.419,1.23211,0.351086,"[0.117825, 0.11259699999999999, 0.356255, 0.604124, 0.33536099999999996, 0.14607, 0.121292, 0.6134569999999999, 1.194675, 1.220822]","['v606', 'v755', 'v714', 'v910', 'v147', 'v659', 'v470', 'v456', 'v46', 'v423']"
6,"grid(100,100,double)",pMC,"Rmin=? [F ""goal""]",spsolve,19999,59995,100,2.018,2.166974,1.534238,0.090,10,0.082509,8.251,4.911683,3.109886,"[0.09894000000000001, 0.108428, 0.5098309999999999, 0.066977, 0.06894, 0.234066, 0.46025000000000005, 0.041568999999999995, 0.28116399999999997, 0.046457]","['v79', 'v38', 'v94', 'v46', 'v23', 'v13', 'v85', 'v75', 'v29', 'v1']"
10,"grid(100,1000,double)",pMC,"Rmin=? [F ""goal""]",spsolve,19999,59995,1000,2.025,2.244285,1.5506820000000001,0.088,10,0.07946199999999999,79.462,4.972136,5.481984,"[0.126247, 0.053605, 0.038493, 0.5003949999999999, 0.49791, 0.25994, 0.06734799999999999, 0.11368199999999999, 0.247942, 0.039199]","['v4', 'v988', 'v806', 'v908', 'v862', 'v793', 'v398', 'v611', 'v565', 'v545']"
18,"grid(200,100,double)",pMC,"Rmin=? [F ""goal""]",spsolve,79999,239995,100,8.028,8.633048,6.057517,0.563,10,0.5594779999999999,55.948,19.754445,34.151229,"[0.204168, 0.305096, 0.215435, 0.9269459999999999, 0.250129, 0.45541000000000004, 1.9699659999999999, 1.061108, 0.663, 0.324034]","['v63', 'v61', 'v67', 'v32', 'v83', 'v33', 'v27', 'v89', 'v70', 'v21']"
3,"grid(200,1000,double)",pMC,"Rmin=? [F ""goal""]",spsolve,79999,239995,1000,7.961,8.747928,6.122727,0.583,10,0.575823,575.823,19.808817,48.249943,"[0.19116000000000002, 1.017896, 0.18034799999999998, 0.43302199999999996, 0.23185000000000003, 0.42554000000000003, 0.17823899999999998, 1.891209, 2.033324, 0.992652]","['v248', 'v637', 'v826', 'v280', 'v286', 'v22', 'v752', 'v770', 'v843', 'v182']"
13,"grid(200,10000,double)",pMC,"Rmin=? [F ""goal""]",spsolve,79999,239995,10000,7.872,17.980341,6.283713,0.576,10,0.571427,5617.697,19.904913,110.413265,"[1.000078, 0.22780699999999998, 0.931766, 0.48299899999999996, 0.14268799999999998, 0.490751, 0.16644499999999998, 1.973246, 0.159417, 1.783493]","['v2395', 'v1447', 'v5208', 'v5181', 'v6369', 'v1337', 'v5646', 'v8310', 'v7516', 'v6177']"
4,"grid(400,100,double)",pMC,"Rmin=? [F ""goal""]",spsolve,319999,959995,100,3.183,34.851077,24.342747,4.540,10,4.533147,453.315,78.934461,483.629188,"[0.830301, 0.077765, 0.11382199999999999, 0.383465, 0.151036, 0.094882, 0.066354, 0.239449, 0.679909, 0.425796]","['v36', 'v99', 'v3', 'v34', 'v18', 'v66', 'v81', 'v60', 'v51', 'v69']"
12,"grid(400,1000,double)",pMC,"Rmin=? [F ""goal""]",spsolve,319999,959995,1000,3.217,34.788652,24.5282,4.606,10,4.602196,4602.196,79.534218,581.112431,"[0.387791, 0.20918799999999999, 0.065439, 0.847657, 0.054714, 0.733163, 0.41314799999999996, 0.207985, 0.056538, 0.130637]","['v295', 'v477', 'v367', 'v809', 'v241', 'v767', 'v433', 'v83', 'v57', 'v43']"
2,"grid(400,10000,double)",pMC,"Rmin=? [F ""goal""]",spsolve,319999,959995,10000,3.293,45.49906,24.787396,4.497,10,4.497126,44971.264,79.779066,976.744641,"[0.447521, 0.800553, 0.219542, 0.051314, 0.891721, 0.098607, 0.064007, 0.410093, 0.202293, 0.071953]","['v476', 'v8389', 'v2613', 'v1435', 'v8341', 'v736', 'v7080', 'v1971', 'v4461', 'v5280']"
15,"grid(10,10,double)",prMC,"Rmin=? [F ""goal""]",spsolve,199,595,10,115.964,0.0,0.08106000000000001,0.954,10,0.001196,0.012,0.012301999999999999,0.010322999999999999,"[0.002041, 0.004833, 0.006562, 0.0029319999999999997, 0.003107, 0.005389, 0.006519, 0.0017300000000000002, 0.000932, 0.0023569999999999997]","['v5', 'v0', 'v3', 'v7', 'v9', 'v2', 'v4', 'v6', 'v8', 'v1']"
7,"grid(50,50,double)",prMC,"Rmin=? [F ""goal""]",spsolve,4999,14995,50,"1,070.427",0.0,2.175937,23.080,10,0.026597,1.33,0.277269,0.5710379999999999,"[0.045940999999999996, 0.02313, 0.030749, 0.032843, 0.032698, 0.023878, 0.021636, 0.021134999999999998, 0.023268999999999998, 0.039063]","['v26', 'v18', 'v9', 'v21', 'v29', 'v23', 'v32', 'v31', 'v10', 'v15']"
11,"grid(50,100,double)",prMC,"Rmin=? [F ""goal""]",spsolve,4999,14995,100,"1,101.736",0.0,2.37579,22.909,10,0.025797,2.58,0.268007,0.5636169999999999,"[0.020350999999999998, 0.024631999999999998, 0.015988, 0.014632, 0.015191999999999999, 0.015704, 0.021006, 0.019001, 0.016278, 0.026312]","['v4', 'v14', 'v23', 'v79', 'v89', 'v78', 'v31', 'v13', 'v74', 'v7']"
1,"grid(50,1000,double)",prMC,"Rmin=? [F ""goal""]",spsolve,4999,14995,1000,"1,083.381",0.0,5.498742,22.649,10,0.026156,24.089,0.27508099999999996,0.598992,"[0.012388999999999999, 0.007875, 0.013405, 0.022219, 0.012229, 0.014714999999999999, 0.008655, 0.014411, 0.009840999999999999, 0.008664999999999999]","['v407', 'v714', 'v423', 'v460', 'v46', 'v593', 'v5', 'v565', 'v456', 'v910']"
16,"grid(100,100,double)",prMC,"Rmin=? [F ""goal""]",spsolve,19999,59995,100,"2,117.661",0.0,9.720323,97.943,10,0.164969,16.497,1.14336,4.080173,"[0.036663, 0.035767, 0.041102, 0.033671, 0.045205999999999996, 0.06300499999999999, 0.063819, 0.082081, 0.039726, 0.051864999999999994]","['v94', 'v38', 'v72', 'v66', 'v32', 'v85', 'v12', 'v16', 'v96', 'v13']"
0,"grid(100,1000,double)",prMC,"Rmin=? [F ""goal""]",spsolve,19999,59995,1000,"2,246.791",0.0,23.234607,95.741,10,0.161834,161.834,1.129084,5.275608,"[0.021665, 0.052975999999999995, 0.026633999999999998, 0.018598999999999997, 0.018725, 0.033845, 0.027561, 0.020630000000000003, 0.03036, 0.029217999999999997]","['v67', 'v637', 'v908', 'v676', 'v565', 'v793', 'v862', 'v530', 'v180', 'v53']"
14,"grid(200,100,double)",prMC,"Rmin=? [F ""goal""]",spsolve,79999,239995,100,"4,294.353",0.0,39.098213,"1,710.240",10,0.7952509999999999,79.525,4.689548,36.130325,"[0.074406, 0.073002, 0.090848, 0.075585, 0.118285, 0.165658, 0.104436, 0.080881, 0.064169, 0.09425399999999999]","['v83', 'v27', 'v85', 'v51', 'v37', 'v70', 'v56', 'v33', 'v76', 'v89']"
